"Title","Link","University","Department","Study_Level","Duration","ECTS","Tuition","Language","Field"
"MASTER OF BUSINESS ADMINISTRATION","https://www.studycyprus.eu/en-gb/find/degree/?uInput=289","CIIM","Cyprus International Institute of Management","Master",NA,NA,NA,"English","Economics and Business Administration"
"Business Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1027","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Economics and Business Administration"
"Business Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1030","European University Cyprus","Distance Education Unit","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Marketing Communications and Social Media","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1070","European University Cyprus","Distance Education Unit","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Public Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1096","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Economics and Business Administration"
"Business Administration - Accounting","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1295","University Of Cyprus","Department of Accounting and Finance","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"Business Administration - Finance","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1296","University Of Cyprus","Department of Accounting and Finance","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"Business Administration (MBA Part and Full Time -(Interdepartmental)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1299","University Of Cyprus","Department of Accounting and Finance","Master","1 year","90",NA,"English","Economics and Business Administration"
"Finance (Phd)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1341","University Of Cyprus","Department of Accounting and Finance","Doctorate","4 years","240",NA,"English","Economics and Business Administration"
"Financial Economics -(Interdepartmental)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1343","University Of Cyprus","Department of Accounting and Finance","Master","3 semesters","90",NA,"English","Economics and Business Administration"
"Business Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1294","University Of Cyprus","Department of Business and Public Administration","Doctorate","4 years","240",NA,"English","Economics and Business Administration"
"Business Administration - Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1297","University Of Cyprus","Department of Business and Public Administration","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"Business Administration - Marketing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1298","University Of Cyprus","Department of Business and Public Administration","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"Business Administration (MBA Part and Full Time) - ( Interdepartmental)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1300","University Of Cyprus","Department of Business and Public Administration","Master","1 year","90",NA,"English","Economics and Business Administration"
"Business Administration -Operations Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1301","University Of Cyprus","Department of Business and Public Administration","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"Human Resource Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1349","University Of Cyprus","Department of Business and Public Administration","Master","3 semesters","96",NA,"English","Economics and Business Administration"
"Business Economics (Technology Innovation Management and Entrepreneurship - TIME MBE) (Joint with University of Crete and Wageningen University the Netherlands)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1302","University Of Cyprus","Department of Economics","Master","2 years","120",NA,"English","Economics and Business Administration"
"Economic Analysis","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1326","University Of Cyprus","Department of Economics","Master","3 semesters","90",NA,"English","Economics and Business Administration"
"Economics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1327","University Of Cyprus","Department of Economics","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"Financial Economics (Interdepartmental)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1342","University Of Cyprus","Department of Economics","Master","3 semesters","90",NA,"English","Economics and Business Administration"
"Interdepartmental program in Mathematics and Economics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1351","University Of Cyprus","Department of Economics","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"International, European and Economic Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1352","University Of Cyprus","Department of Economics","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"Monetary and Financial Economics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1370","University Of Cyprus","Department of Economics","Master","3 semesters","90",NA,"English","Economics and Business Administration"
"Political Sciences - European Politics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1384","University Of Cyprus","Department of Social and Political Sciences","Master","2 years","100",NA,"English","Economics and Business Administration"
"Political Sciences - International Relations","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1385","University Of Cyprus","Department of Social and Political Sciences","Master","2 years","100",NA,"English","Economics and Business Administration"
"MA in Communication Studies: Media Journalism in the Information Society","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1138","Frederick University","Department of Journalism, Communication and Mass Media","Master","1,5 years","90",NA,"English","Economics and Business Administration"
"MA in International Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1168","Frederick University","Σχολή Τεχνών, Επικοινωνίας Πολιτισμικών Σπουδών","Master","1,5 years","90",NA,"English","Economics and Business Administration"
"Accounting (BSc, 4 years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=867","University of Nicosia","Accounting","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration: Finance (MBA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=883","University of Nicosia","Economics and Finance","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Business Administration: Finance and Economics (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=884","University of Nicosia","Economics and Finance","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration (BBA, 4 Years) Distance Learning (in English)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=874","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration (BBA, 4 Years) Distance Learning (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=875","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration (DBA, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=876","University of Nicosia","Management and MIS","Doctorate","3 έτη","180",NA,"English","Economics and Business Administration"
"Business Administration (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=878","University of Nicosia","Management and MIS","Doctorate","3 έτη","180",NA,"English","Economics and Business Administration"
"Business Administration: Agribusiness and Food Enterprise Management (MBA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=879","University of Nicosia","Management and MIS","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Business Administration: Energy, Oil and Gas Management (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=880","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration: Entrepreneurship and Innovation (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=881","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration: Entrepreneurship and Innovation (MBA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=882","University of Nicosia","Management and MIS","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Business Administration: Human Resource Management (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=885","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration: Human Resource Management (MBA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=886","University of Nicosia","Management and MIS","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Business Administration: Information Systems and Social Media (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=887","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration: Management (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=888","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration: Management (MBA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=889","University of Nicosia","Management and MIS","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Business Administration: Management Information Systems (MBA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=890","University of Nicosia","Management and MIS","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Business Administration: Oil, Gas and Energy Management (MBA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=893","University of Nicosia","Management and MIS","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Business Administration: Public Administration (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=894","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration: Real Estate (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=895","University of Nicosia","Management and MIS","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration: Real Estate Management (MBA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=896","University of Nicosia","Management and MIS","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Digital Currency (MSc, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=914","University of Nicosia","Management and MIS","Master","3 Εξάμηνα","90",NA,"English","Economics and Business Administration"
"Public Administration (MPA, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=999","University of Nicosia","Management and MIS","Master","3 Semesters","90",NA,"English","Economics and Business Administration"
"Business Administration: Marketing (MBA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=891","University of Nicosia","Marketing","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Business Administration: Marketing Communications (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=892","University of Nicosia","Marketing","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Marketing (BBA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=969","University of Nicosia","Marketing","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Business Administration (MBA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=877","University of Nicosia","MBA Programme","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Bachelor of Accounting, Banking and Finance","https://www.studycyprus.eu/en-gb/find/degree/?uInput=3","Neapolis University","School of Business Administration","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"Bachelor of Business Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=4","Neapolis University","School of Business Administration","Bachelor",NA,NA,NA,"English","Economics and Business Administration"
"Master of Banking, Investment and Finance","https://www.studycyprus.eu/en-gb/find/degree/?uInput=13","Neapolis University","School of Business Administration","Master",NA,NA,NA,"English","Economics and Business Administration"
"Master of Business Administration (MBA)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=14","Neapolis University","School of Business Administration","Master",NA,NA,NA,"English","Economics and Business Administration"
"Master of Public Administration (MPA)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=19","Neapolis University","School of Business Administration","Master",NA,NA,NA,"English","Economics and Business Administration"
"BA in Accounting and Finance","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1117","Frederick University","Department of Business, Accounting and Finance","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"BA in Business Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1118","Frederick University","Department of Business, Accounting and Finance","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"BA Marketing with Digital Technologies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1124","Frederick University","Department of Business, Accounting and Finance","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"Master of Business Administration (MBA)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1141","Frederick University","Department of Business, Accounting and Finance","Master","1,5 years","90",NA,"English","Economics and Business Administration"
"PhD Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1166","Frederick University","Department of Business, Accounting and Finance","Doctorate","4 years","240",NA,"English","Economics and Business Administration"
"BSc in Maritime Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1132","Frederick University","Department of Maritime Studies","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"MSc in International Trade and Shipping Management","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1152","Frederick University","Department of Maritime Studies","Master","1,5 years","90",NA,"English","Economics and Business Administration"
"BA (Hons) Accounting and Finance","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1581","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Business and Management","Bachelor","4","240","8500","English","Economics and Business Administration"
"BA (Hons) Advertising and Marketing Communications","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1582","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Business and Management","Bachelor","4","240","8500","English","Economics and Business Administration"
"BA (Hons) Business Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1583","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Business and Management","Bachelor","4","240","8500","English","Economics and Business Administration"
"MBA Master in Business Administration (Distance Learning)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1604","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Business and Management","Master","2","130","6500","English","Economics and Business Administration"
"MBA Master in Business Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1605","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Business and Management","Master","2","130","8925","English","Economics and Business Administration"
"BSc in Quantity Surveying","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1135","Frederick University","Department of Civil Engineering","Bachelor","4 years","240",NA,"English","Economics and Business Administration"
"Media and Communications (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=972","University of Nicosia","Communications","Doctorate","3 έτη","180",NA,"English","Economics and Business Administration"
"Public Relations, Advertising and Marketing (BA, 4 years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1002","University of Nicosia","Communications","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Applied Multimedia (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=869","University of Nicosia","Design and Multimedia","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"Digital Media","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1041","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Economics and Business Administration"
"Mass Media and Communication","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1071","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Public Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1095","European University Cyprus","School of Humanities, Social and Education Sciences","Master","18 μήνες","90",NA,"English","Economics and Business Administration"
"Public Administration and Governance","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1097","European University Cyprus","School of Humanities, Social and Education Sciences","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"International Relations and European Studies (MA, 1.5 Years or 3 Semesters) Distance Learning (in English)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=956","University of Nicosia","Law","Master","1.5 years or 3 semesters","90",NA,"English","Economics and Business Administration"
"International Relations and European Studies (MA, 1.5 Years or 3 Semesters) Distance Learning (in Greek)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=957","University of Nicosia","Law","Master","1.5 years or 3 semesters","90",NA,"English","Economics and Business Administration"
"International Relations and European Studies (BA, 4 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=954","University of Nicosia","Politics and Governance","Bachelor","4 έτη","240",NA,"English","Economics and Business Administration"
"International Relations and European Studies (MA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=955","University of Nicosia","Politics and Governance","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"International Relations and European Studies (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=958","University of Nicosia","Politics and Governance","Doctorate","3 έτη","180",NA,"English","Economics and Business Administration"
"Public Administration (MPA, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=998","University of Nicosia","Politics and Governance","Master","1.5 έτος","90",NA,"English","Economics and Business Administration"
"Accounting","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1019","European University Cyprus","The School of Business Administration","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Business Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1025","European University Cyprus","The School of Business Administration","Master","18 μήνες","90",NA,"English","Economics and Business Administration"
"Business Administration","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1026","European University Cyprus","The School of Business Administration","Doctorate",NA,"180",NA,"English","Economics and Business Administration"
"Business Economics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1028","European University Cyprus","The School of Business Administration","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Business Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1029","European University Cyprus","The School of Business Administration","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Business Studies - Energy Resources Management (Oil and Gas)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1031","European University Cyprus","The School of Business Administration","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Finance and Investments","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1053","European University Cyprus","The School of Business Administration","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Management and Leadership","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1067","European University Cyprus","The School of Business Administration","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Marketing","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1068","European University Cyprus","The School of Business Administration","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Marketing Communications and Social Media","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1069","European University Cyprus","The School of Business Administration","Bachelor","4 χρόνια","240",NA,"English","Economics and Business Administration"
"Shipping and Maritime Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1102","European University Cyprus","The School of Business Administration","Master","18 μήνες","90",NA,"English","Economics and Business Administration"
"EΛΛΗΝΙΚΗ ΓΛΩΣΣΑ ΚΑΙ ΛΟΓΟΤΕΧΝΙΑ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1468","Open University of Cyprus","ΣΧΟΛΗ ΑΝΘΡΩΠΙΣΤΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","Master","2","120","5400","English","Education Science"
"ΕΠΙΣΤΗΜΕΣ ΤΗΣ ΑΓΩΓΗΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1483","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Master","2","120","5400","English","Education Science"
"ΕΠΙΣΤΗΜΕΣ ΤΗΣ ΑΓΩΓΗΣ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1484","Open University of Cyprus","ΣΧΟΛΗ ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΚΑΙ ΔΙΟΙΚΗΣΗΣ","Doctorate","3","180","4050","English","Education Science"
"ΣΥΝΕΧΙΖΟΜΕΝΗ ΕΚΠΑΙΔΕΥΣΗ ΚΑΙ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1495","Open University of Cyprus","ΣΧΟΛΗ ΑΝΘΡΩΠΙΣΤΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","Master","2","120","5400","English","Education Science"
"ΣΥΝΕΧΙΖΟΜΕΝΗ ΕΚΠΑΙΔΕΥΣΗ ΚΑΙ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗ","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1496","Open University of Cyprus","ΣΧΟΛΗ ΑΝΘΡΩΠΙΣΤΙΚΩΝ & ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","Doctorate","3","180","4050","English","Education Science"
"Early Childhood Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1044","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Education Science"
"Educational Management and Leadership","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1047","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Education Science"
"English Language and Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1051","European University Cyprus","Distance Education Unit","Bachelor","4 χρόνια","240",NA,"English","Education Science"
"English Language and Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1052","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Education Science"
"Special (Inclusive) Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1105","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Education Science"
"Technologies of Learning and Communication","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1112","European University Cyprus","Distance Education Unit","Master","18 μήνες","90",NA,"English","Education Science"
"English Language And Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1337","University Of Cyprus","Department of English Studies","Bachelor","4 years","240",NA,"English","Education Science"
"English Literature and Comparative Cultural Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1338","University Of Cyprus","Department of English Studies","Master","3 semesters","90",NA,"English","Education Science"
"Linguistics","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1359","University Of Cyprus","Department of English Studies","Master",NA,NA,NA,"English","Education Science"
"French Language And Literature","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1345","University Of Cyprus","Department of French and European Studies","Bachelor","4 years","240",NA,"English","Education Science"
"Classical Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1316","University Of Cyprus","Department of Classics and Philosophy","Bachelor","4 years","242",NA,"English","Education Science"
"Classical Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1317","University Of Cyprus","Department of Classics and Philosophy","Master","4 years","240",NA,"English","Education Science"
"Curriculum Studies, Teachingand Comparative Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1323","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Didactics and Methodology of Mathematics (Joint with Mathematics and Statistics Department and National and Kapodistrian University of Athens)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1324","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Didacts and Methodology of Mathematics (Joint with Education Department and National and Kapodistrian University of Athens)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1325","University Of Cyprus","Department of Education","Master","2  years","120",NA,"English","Education Science"
"Education - Pre-Primary School Teaching","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1328","University Of Cyprus","Department of Education","Bachelor","4 years","240",NA,"English","Education Science"
"Education - Primary School Teaching","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1329","University Of Cyprus","Department of Education","Bachelor","4 years","240",NA,"English","Education Science"
"Educational Administration and Evaluation","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1330","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Language and Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1355","University Of Cyprus","Department of Education","Master","4 years","273",NA,"English","Education Science"
"Language Pedagogy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1356","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Learning in Natural Sciences","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1358","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Pedagogical Sciences - Educational Technology","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1371","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Pedagogical Sciences - Preschool Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1372","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Pedagogical Sciences - Religious Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1373","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Pedagogical Sciences - Sociology of Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1374","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Pedagogical Sciences - Sports Pedagogy","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1375","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Pedagogical Sciences - Theory and Philososhy of Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1376","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Pedagogical Sciences -Multiculturalism, Migration and Decolonial Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1377","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Special and Inclusive Education","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1395","University Of Cyprus","Department of Education","Master","2 years","120",NA,"English","Education Science"
"Ph.D. Program in Co-Supervision","https://www.studycyprus.eu/en-gb/find/degree/?uInput=23","Neapolis University","Ph.D. Programs","Master",NA,NA,NA,"English","Education Science"
"BA (Hons) English Language Studies","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1584","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Business and Management","Bachelor","4","240","8500","English","Education Science"
"MA Educational Leadership","https://www.studycyprus.eu/en-gb/find/degree/?uInput=1596","University of Central Lancashire Cyprus (UCLan Cyprus)","School of Business and Management","Master","1","90","8925","English","Education Science"
"Education of Adult Educators and Vocational Education and Training Trainers (MA, 1.5 Years or 3 semesters) Joint Degree with the University of Peloponnese Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=916","University of Nicosia","Education","Master","1.5 Έτος (3 Εξάμηνα)","90",NA,"English","Education Science"
"Education Sciences (PhD, 3 Years)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=917","University of Nicosia","Education","Doctorate","3 έτη","240",NA,"English","Education Science"
"Education Sciences Arts in Education (MEd, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=918","University of Nicosia","Education","Master","1.5 έτος","90",NA,"English","Education Science"
"Education Sciences Arts in Education (MEd, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=919","University of Nicosia","Education","Master","3 Εξάμηνα","90",NA,"English","Education Science"
"Education Sciences Educational Leadership and Administration (MEd, 1.5 Years or 3 Semesters)","https://www.studycyprus.eu/en-gb/find/degree/?uInput=920","University of Nicosia","Education","Master","3 Εξάμηνα","90",NA,"English","Education Science"
"Education Sciences Educational Leadership and Administration (MEd, 3 Semesters) Distance Learning","https://www.studycyprus.eu/en-gb/find/degree/?uInput=921","University of Nicosia","Education","Master","3 Εξάμηνα","90",NA,"English","Education Science"
