"Area","Programme","Level","Mode","University","University_URL","Programme_URL","Contact","Language"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","WSG University","https://study.gov.pl/university/wsg-university","https://study.gov.pl/wsg-university-2","mailto:interrecruitment@byd.pl","English"
"Technological sciences","Computer science","Master's Programme","full-time programme","Vistula University","https://vistula.edu.pl/en","https://study.gov.pl/vistula-university-11","mailto:admission2@vistula.edu.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","Wyższa Szkoła Biznesu - National Louis University","https://www.wsb-nlu.edu.pl/en","https://study.gov.pl/wyzsza-szkola-biznesu-national-louis-university-0","mailto:bwz@wsb-nlu.edu.pl","English"
"Technological sciences","Computer science","Master's Programme","full-time programme","WSG University","https://study.gov.pl/university/wsg-university","https://study.gov.pl/wsg-university-3","mailto:interrecruitment@byd.pl","English"
"Technological sciences","Computer science","Master's Programme","full-time programme","University of Bialystok","https://study.gov.pl/university/university-bialystok","https://study.gov.pl/university-bialystok-1","mailto:studyinuwb@uwb.edu.pl","English"
"Science","Computer science","Master's Programme","full-time programme","University of Lodz","https://go-poland.pl/university/university-lodz","https://study.gov.pl/university-lodz-5","mailto:admission@uni.lodz.pl","English"
"Technological sciences","Computer science","Master's Programme","full-time programme","Wrocław University of Science and Technology","https://go-poland.pl/university/wroclaw-university-technology","https://study.gov.pl/wroclaw-university-science-and-technology-14","mailto:admission@pwr.edu.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","Uniwersytet WSB Merito Wrocław","https://study.gov.pl/university/uniwersytet-wsb-merito-wroclaw","https://study.gov.pl/uniwersytet-wsb-merito-wroclaw-2","mailto:studyinenglish@wroclaw.merito.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","AGH University of Krakow","https://www.agh.edu.pl/","https://study.gov.pl/agh-university-krakow","mailto:international.students@agh.edu.pl","English"
"Technological sciences","Computer science","Master's Programme","full-time programme","Jan Dlugosz University in Czestochowa","https://go-poland.pl/university/jan-dlugosz-university-czestochowa","https://study.gov.pl/jan-dlugosz-university-czestochowa-4","mailto:wnspt@ujd.edu.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","Uniwersytet WSB Merito Warszawa","https://study.gov.pl/university/uniwersytet-wsb-merito-warszawa","https://study.gov.pl/uniwersytet-wsb-merito-warszawa-1","mailto:study@warszawa.merito.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","Vistula University","https://go-poland.pl/university/vistula-university","https://study.gov.pl/vistula-university-4","mailto:admission2@vistula.edu.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","Bialystok University of Technology","https://go-poland.pl/university/bialystok-university-technology","https://study.gov.pl/bialystok-university-technology-9","mailto:studyinbut@pb.edu.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","Uniwersytet WSB Merito Poznan","https://study.gov.pl/university/uniwersytet-wsb-merito-poznan","https://study.gov.pl/uniwersytet-wsb-merito-poznan-8","mailto:study@poznan.merito.pl","English"
"Technological sciences","Computer science","Master's Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-22","mailto:study@put.poznan.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","SWPS University","https://english.swps.pl/","https://study.gov.pl/swps-university-7","mailto:admissions@swps.edu.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","Warsaw University of Technology","https://go-poland.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology-11","mailto:students.cwm@pw.edu.pl","English"
"Science","Computer science","Bachelor Programme","full-time programme","University of Lodz","https://go-poland.pl/university/university-lodz","https://study.gov.pl/university-lodz-4","mailto:admission@uni.lodz.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","Warsaw University of Technology","https://go-poland.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology-8","mailto:students.cwm@pw.edu.pl","English"
"Technological sciences","Computer science","Master's Programme","full-time programme","Bialystok University of Technology","https://go-poland.pl/university/bialystok-university-technology","https://study.gov.pl/bialystok-university-technology-7","mailto:studyatbut@pb.edu.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","Uniwersytet WSB Merito Poznan","https://study.gov.pl/university/uniwersytet-wsb-merito-poznan","https://study.gov.pl/uniwersytet-wsb-merito-poznan-7","mailto:study@poznan.merito.pl","English"
"Technological sciences","Computer science","Master's Programme","full-time programme","Wrocław University of Science and Technology","https://go-poland.pl/university/wroclaw-university-technology","https://study.gov.pl/wroc-aw-university-technology-11","mailto:admission@pwr.wroc.pl","English"
"Technological sciences","Computer science","Bachelor Programme","full-time programme","Polish-Japanese Academy of Information Technology","https://study.gov.pl/university/polish-japanese-academy-information-technology","https://study.gov.pl/polish-japanese-academy-information-technology-1","mailto:admission@pja.edu.pl","English"
"Technological sciences","Computer science and econometrics","Bachelor Programme","full-time programme","University of Zielona Góra","https://uz.zgora.pl","https://study.gov.pl/university-zielona-gora-2","mailto:A.Rzepka@wmie.uz.zgora.pl","English"
"Technological sciences","Computer science and econometrics","Master's Programme","full-time programme","University of Zielona Góra","https://uz.zgora.pl","https://study.gov.pl/university-zielona-gora-6","mailto:A.Rzepka@wmie.uz.zgora.pl","English"
"Arts","Conducting","Bachelor Programme","full-time programme","The Karol Szymanowski Academy of Music in Katowice","https://go-poland.pl/university/karol-szymanowski-academy-music-katowice","https://study.gov.pl/karol-szymanowski-academy-music-katowice-5","mailto:schoolofmusic@am.katowice.pl","English"
"Arts","Conducting","Master's Programme","full-time programme","The Karol Szymanowski Academy of Music in Katowice","https://go-poland.pl/university/karol-szymanowski-academy-music-katowice","https://study.gov.pl/karol-szymanowski-academy-music-katowice-6","mailto:schoolofmusic@am.katowice.pl","English"
"Arts","Conducting","Master's Programme","full-time programme","Academy of Music in Cracow","http://www.amuz.krakow.pl","https://study.gov.pl/academy-music-cracow","mailto:stanislaw.janik@amuz.krakow.pl","English"
"Technological sciences","Control engineering and robotics","Master's Programme","full-time programme","Wrocław University of Science and Technology","https://go-poland.pl/university/wroclaw-university-technology","https://study.gov.pl/wroclaw-university-science-and-technology","mailto:admission@pwr.edu.pl","English"
"Technological sciences","Control, Electronics, and Information Engineering (CEIE)","Master's Programme","full-time programme","Silesian University of Technology","https://go-poland.pl/university/silesian-university-technology","https://study.gov.pl/silesian-university-technology-2","mailto:rd1@polsl.pl","English"
"Science","Control, Electronics, and Information Engineering (CEIE)","Bachelor Programme","full-time programme","Silesian University of Technology","https://go-poland.pl/university/silesian-university-technology","https://study.gov.pl/silesian-university-technology-1","mailto:study@polsl.pl","English"
"Social sciences","Corporate finance and accounting","Master's Programme","part-time programme","Cracow University of Economics","https://go-poland.pl/university/cracow-university-economics","https://study.gov.pl/cracow-university-economics-9","mailto:lisiecka@uek.krakow.pl","English"
"Social sciences","Corporate finance and accounting","Bachelor Programme","full-time programme","Cracow University of Economics","https://go-poland.pl/university/cracow-university-economics","https://study.gov.pl/cracow-university-economics-2","mailto:lisiecka@uek.krakow.pl","English"
"Social sciences","Corporate finance and accounting","Master's Programme","full-time programme","Cracow University of Economics","https://go-poland.pl/university/cracow-university-economics","https://study.gov.pl/cracow-university-economics-8","mailto:lisiecka@uek.krakow.pl","English"
"Social sciences","Corporate finance and accounting","Master's Programme","part-time programme","Cracow University of Economics","https://go-poland.pl/university/cracow-university-economics","https://study.gov.pl/cracow-university-economics-9","mailto:lisiecka@uek.krakow.pl","English"
"Medical, health and sport sciences","Cosmetology","Bachelor Programme","full-time programme","University of Economics and Human Sciences in Warsaw","https://study.gov.pl/university/university-economics-and-human-sciences-warsaw","https://study.gov.pl/university-economics-and-human-sciences-warsaw-8","mailto: ENROLLMENT@VIZJA.PL","English"
"Social sciences","Criminal Justice","Bachelor Programme","full-time programme","University of Wroclaw","https://uwr.edu.pl/en/","https://study.gov.pl/university-wroclaw","mailto:study.law-economics@uwr.edu.pl","English"
"Humanities","Criminal Justice","Bachelor Programme","full-time programme","University of Gdansk","https://go-poland.pl/university/university-gdansk","https://study.gov.pl/university-gdansk-4","mailto:fso@ug.edu.pl","English"
"Humanities","Cultural studies","Master's Programme","full-time programme","Adam Mickiewicz University, Poznan","https://amu.edu.pl/en","https://study.gov.pl/adam-mickiewicz-university-poznan-11","mailto:waik@amu.edu.pl","English"
"Humanities","Cultural studies","Master's Programme","full-time programme","Maria Curie-Skłodowska University","https://www.umcs.pl/en/applicant.htm","https://study.gov.pl/maria-curie-sklodowska-university-9","mailto:studyinenglish@mail.umcs.pl","English"
"Social sciences","Cybersecurity and Strategic Studies","Master's Programme","full-time programme","Maria Curie-Skłodowska University","https://www.umcs.pl/en/applicant.htm","https://study.gov.pl/maria-curie-sklodowska-university-8","mailto:studyinenglish@mail.umcs.pl","English"
"Science","Data Analytics, Big Data and Coding","Bachelor Programme","full-time programme","Lazarski University","https://www.lazarski.pl/en/","https://study.gov.pl/lazarski-university-2","mailto:recruitment@lazarski.edu.pl","English"
"Science","Data Analytics, Big Data and Coding","Bachelor Programme","full-time programme","Collegium Civitas","https://study.gov.pl/university/collegium-civitas","https://study.gov.pl/collegium-civitas-13","mailto:admissions@civitas.edu.pl","English"
"Arts","Data Analytics, Big Data and Coding","Master's Programme","full-time programme","Maria Curie-Skłodowska University","https://www.umcs.pl/en/applicant.htm","https://study.gov.pl/maria-curie-sklodowska-university-6","mailto:studyinenglish@mail.umcs.pl","English"
"Technological sciences","Data Engineering","Bachelor Programme","full-time programme","Gdańsk University of Technology","http://www.pg.edu.pl","https://study.gov.pl/gdansk-university-technology-7","mailto:study@pg.edu.pl","English"
"Science","Data Engineering","Bachelor Programme","full-time programme","University of Zielona Góra","https://uz.zgora.pl","https://study.gov.pl/university-zielona-gora-1","mailto:A.Rzepka@wmie.uz.zgora.pl","English"
"Technological sciences","Data Engineering","Bachelor Programme","full-time programme","Jan Kochanowski University of Kielce","https://go-poland.pl/university/jan-kochanowski-university-kielce","https://study.gov.pl/jan-kochanowski-university-kielce-1","mailto:rekrutacja@ujk.edu.pl","English"
"Science","Data Engineering","Master's Programme","full-time programme","University of Zielona Gora","https://go-poland.pl/university/university-zielona-gora","https://study.gov.pl/university-zielona-gora-0","mailto:A.Rzepka@wmie.uz.zgora.pl","English"
"Science","Data Engineering","Master's Programme","full-time programme","Warsaw University of Technology","https://study.gov.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology-12","mailto:students.cwm@pw.edu.pl","English"
"Technological sciences","Data Engineering","Master's Programme","full-time programme","Military University of Technology","https://www.wojsko-polskie.pl/wat/en/","https://study.gov.pl/military-university-technology-2","mailto:dziekanat.wcy@wat.edu.pl","English"
"Medical, health and sport sciences","Dentistry","Long cycle Master's Programme (9-12 semesters)","full-time programme","Medical University of Silesia","https://study.gov.pl/../university/medical-university-silesia","https://study.gov.pl/medical-university-silesia-0","mailto:dziekzab@sum.edu.pl","English"
"Medical, health and sport sciences","Dentistry","Long cycle Master's Programme (9-12 semesters)","full-time programme","Medical University of Lublin","https://study.gov.pl/university/medical-university-lublin","https://study.gov.pl/medical-university-lublin-0","mailto:admissions@umlub.pl","English"
"Medical, health and sport sciences","Dentistry","Master's Programme","full-time programme","Wrocław Medical University","http://www.ed.umed.wroc.pl/dentistry-contact","https://study.gov.pl/wroc-aw-medical-university-0","mailto:jan.wojna@umed.wroc.pl","English"
"Medical, health and sport sciences","Dentistry","Long cycle Master's Programme (9-12 semesters)","full-time programme","Pomeranian Medical University in Szczecin","https://go-poland.pl/university/pmu-szczecin","https://study.gov.pl/pomeranian-medical-university-szczecin-0","mailto:recruit@pum.edu.pl","English"
"Medical, health and sport sciences","Dentistry","Long cycle Master's Programme (9-12 semesters)","full-time programme","Medical University of Lodz","http://studymed.umed.pl/","https://study.gov.pl/medical-university-lodz-0","mailto:admission@umed.lodz.pl","English"
"Medical, health and sport sciences","Dentistry","Long cycle Master's Programme (9-12 semesters)","full-time programme","Poznan University of Medical Sciences","http://pums.edu.pl","https://study.gov.pl/dentistry","mailto:dentistry@pums.edu.pl","English"
"Medical, health and sport sciences","Dentistry","Long cycle Master's Programme (9-12 semesters)","full-time programme","Medical University of Warsaw","https://go-poland.pl/university/medical-university-warsaw","https://study.gov.pl/medical-university-warsaw","mailto:dentistry@wum.edu.pl","English"
"Social sciences","Digital Entrepreneurship","Master's Programme","full-time programme","Adam Mickiewicz University, Poznan","https://amu.edu.pl/en/admissions/master-degree-programs/digital-entrepreneurship-slubice","https://study.gov.pl/adam-mickiewicz-university-poznan-2","mailto:study-ens@europa-uni.de","English"
"Humanities","Digital Marketing","Bachelor Programme","full-time programme","Collegium Civitas","https://study.gov.pl/university/collegium-civitas","https://study.gov.pl/collegium-civitas-9","mailto:admissions@civitas.edu.pl","English"
"Social sciences","Digital Society: Transformation and Research","Master's Programme","full-time programme","Collegium Civitas","https://study.gov.pl/university/collegium-civitas","https://study.gov.pl/collegium-civitas-18","mailto:admissions@civitas.edu.pl","English"
"Medical, health and sport sciences","Doctor of Dental Surgery program in English","Long cycle Master's Programme (9-12 semesters)","full-time programme","Jagiellonian University in Kraków","https://go-poland.pl/university/jagiellonian-university-krakow","https://study.gov.pl/jagiellonian-university-krakow-0","mailto:smeoffice@cm-uj.krakow.pl","English"
"Technological sciences","Drilling engineering","Non-degree programme","full-time programme","AGH University of Science and Technology","https://go-poland.pl/university/agh-university-science-and-technology","https://study.gov.pl/agh-university-science-and-technology-13","mailto:ulman@agh.edu.pl","English"
"Medical, health and sport sciences","Drug Discovery and Development","Master's Programme","full-time programme","Jagiellonian University in Kraków","https://go-poland.pl/university/jagiellonian-university-krakow","https://study.gov.pl/jagiellonian-university-krakow-6","mailto:ddd.farmacja@cm-uj.krakow.pl","English"
"Science","Earth Sciences in a Changing World","Bachelor Programme","full-time programme","Jagiellonian University in Kraków","https://go-poland.pl/university/jagiellonian-university-krakow","https://study.gov.pl/jagiellonian-university-krakow-8","mailto:studia.ing@uj.edu.pl","English"
"Technological sciences","Eco-engineering","Master's Programme","full-time programme","Bialystok University of Technology","https://go-poland.pl/university/bialystok-university-technology","https://study.gov.pl/bialystok-university-technology-4","mailto:studyatbut@pb.edu.pl","English"
"Technological sciences","Eco-engineering","Bachelor Programme","full-time programme","Bialystok University of Technology","https://go-poland.pl/university/bialystok-university-technology","https://study.gov.pl/bialystok-university-technology-5","mailto:studyatbut@pb.edu.pl","English"
"Science","Economic Analytics","Master's Programme","full-time programme","Gdańsk University of Technology","http://www.pg.edu.pl","https://study.gov.pl/gdansk-university-technology-2","mailto:study@pg.edu.pl","English"
"Social sciences","Economics","Master's Programme","full-time programme","University of Lodz","https://go-poland.pl/university/university-lodz","https://study.gov.pl/university-lodz-1","mailto:admission@uni.lodz.pl","English"
"Social sciences","Economics","Master's Programme","full-time programme","Uniwersytet WSB Merito Warszawa","https://study.gov.pl/university/uniwersytet-wsb-merito-warszawa","https://study.gov.pl/uniwersytet-wsb-merito-warszawa-5","mailto:study@warszawa.merito.pl","English"
"Social sciences","Economics","Master's Programme","full-time programme","Uniwersytet WSB Merito Warszawa","https://study.gov.pl/university/uniwersytet-wsb-merito-warszawa","https://study.gov.pl/uniwersytet-wsb-merito-warszawa-4","mailto:study@warszawa.merito.pl","English"
"Social sciences","Economics","Master's Programme","full-time programme","University of Warsaw","https://go-poland.pl/university/university-warsaw","https://study.gov.pl/university-warsaw-14","mailto:admissions@wne.uw.edu.pl","English"
"Science","Economics","Master's Programme","full-time programme","Uniwersytet WSB Merito Warszawa","https://study.gov.pl/university/uniwersytet-wsb-merito-warszawa","https://study.gov.pl/uniwersytet-wsb-merito-warszawa-10","mailto:study@warszawa.merito.pl","English"
"Social sciences","Economics","Master's Programme","full-time programme","University of Zielona Gora","https://go-poland.pl/university/university-zielona-gora","https://study.gov.pl/university-zielona-gora-9","mailto:M.Michalska@wez.uz.zgora.pl","English"
"Social sciences","Economics","Master's Programme","full-time programme","Nicolaus Copernicus University","https://www.umk.pl/en/","https://study.gov.pl/nicolaus-copernicus-university-6","mailto:studywithncu@umk.pl","English"
"Social sciences","Economics","Bachelor Programme","full-time programme","Vistula University","https://go-poland.pl/university/vistula-university","https://study.gov.pl/vistula-university","mailto:admission2@vistula.edu.pl","English"
"Science","Economics","Master's Programme","full-time programme","Opole University of Technology","http://www.po.opole.pl","https://study.gov.pl/opole-university-technology-1","mailto:iro@po.opole.pl","English"
"Social sciences","Economics","Doctoral studies","full-time programme","University of Warsaw","https://go-poland.pl/university/university-warsaw","https://study.gov.pl/university-warsaw-27","mailto:kaca@wne.uw.edu.pl","English"
"Science","Economics","Bachelor Programme","full-time programme","Jan Dlugosz University in Czestochowa","https://go-poland.pl/university/jan-dlugosz-university-czestochowa","https://study.gov.pl/jan-dlugosz-university-czestochowa-19","mailto:wpie@ujd.edu.pl ","English"
"Science","Economics","Master's Programme","full-time programme","Lazarski University","https://www.lazarski.pl/en/","https://study.gov.pl/lazarski-university-5","mailto:recruitment@lazarski.edu.pl","English"
"Social sciences","Economics","Bachelor Programme","full-time programme","University of Lodz","https://go-poland.pl/university/university-lodz","https://study.gov.pl/university-lodz-0","mailto:admission@uni.lodz.pl","English"
"Technological sciences","Economics and IT Applications","Bachelor Programme","full-time programme","Polish-Japanese Academy of Information Technology","https://study.gov.pl/university/polish-japanese-academy-information-technology","https://study.gov.pl/polish-japanese-academy-information-technology-4","mailto:admission@pja.edu.pl","English"
"Social sciences","Economics and IT Applications","Bachelor Programme","full-time programme","University of Szczecin","http://www.usz.edu.pl","https://study.gov.pl/university-szczecin-2","mailto:admissions@usz.edu.pl","English"
"Social sciences","Economics and IT Applications","Master's Programme","full-time programme","Poznań University of Economics and Business","https://study.gov.pl/../university/poznan-university-economics-and-business","https://study.gov.pl/pozna-university-economics-4","mailto:master@ue.poznan.pl","English"
"Social sciences","Economics, Management and Finance","Bachelor Programme","full-time programme","Uniwersytet WSB Merito Wrocław","https://study.gov.pl/university/uniwersytet-wsb-merito-wroclaw","https://study.gov.pl/uniwersytet-wsb-merito-wroclaw-5","mailto:studyinenglish@wroclaw.merito.pl","English"
"Social sciences","Economics, Management and Finance","Doctoral studies","part-time programme","Cracow University of Economics","https://go-poland.pl/university/cracow-university-economics","https://study.gov.pl/cracow-university-economics","mailto:steinkel@uek.krakow.pl","English"
"Social sciences","Economics, Management and Finance","Master's Programme","full-time programme","University of Wroclaw","https://uwr.edu.pl/en/","https://study.gov.pl/university-wroclaw-8","mailto:study.law-economics@uwr.edu.pl","English"
"Social sciences","Economy","Master's Programme","full-time programme","Warsaw University of Life Sciences - SGGW","http://www.sggw.pl/en","https://study.gov.pl/warsaw-university-life-sciences-sggw-6","mailto:meo@sggw.pl","English"
"Social sciences","Economy","Doctoral studies","part-time programme","Poznań University of Economics and Business","https://study.gov.pl/../university/poznan-university-economics-and-business","https://study.gov.pl/pozna-university-economics-5","mailto:dse@ue.poznan.pl","English"
"Social sciences","Education","Bachelor Programme","full-time programme","University of Lower Silesia","http://www.uls.edu.pl/","https://study.gov.pl/university-lower-silesia-3","mailto:admission@dsw.edu.pl","English"
"Social sciences","Education","Doctoral studies","full-time programme","Jan Dlugosz University in Czestochowa","https://go-poland.pl/university/jan-dlugosz-university-czestochowa","https://study.gov.pl/jan-dlugosz-university-czestochowa-16","mailto:phd-studies@ujd.edu.pl","English"
"Social sciences","Education","Master's Programme","full-time programme","University of Lower Silesia","http://www.uls.edu.pl/","https://study.gov.pl/university-lower-silesia-1","mailto:admission@dsw.edu.pl","English"
"Technological sciences","Electrical engineering","Master's Programme","full-time programme","Military University of Technology","https://www.wojsko-polskie.pl/wat/en/master-civilian-studies-optoelectronics/","https://study.gov.pl/military-university-technology-7","mailto:dziekanat.ioe@wat.edu.pl","English"
"Technological sciences","Electrical engineering","Master's Programme","full-time programme","Wrocław University of Science and Technology","https://go-poland.pl/university/wroclaw-university-technology","https://study.gov.pl/wroc-aw-university-technology-3","mailto:admission@pwr.edu.pl","English"
"Science","Electrical engineering","Master's Programme","full-time programme","Silesian University of Technology","https://go-poland.pl/university/silesian-university-technology","https://study.gov.pl/silesian-university-technology-7","mailto:study@polsl.pl","English"
"Technological sciences","Electrical engineering","Bachelor Programme","full-time programme","Warsaw University of Technology","https://go-poland.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology-5","mailto:students.cwm@pw.edu.pl","English"
"Technological sciences","Electrical engineering","Master's Programme","full-time programme","Warsaw University of Technology","https://go-poland.pl/university/warsaw-university-technology","https://study.gov.pl/warsaw-university-technology-6","mailto:students.cwm@pw.edu.pl","English"
"Technological sciences","Electrical engineering","Master's Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-24","mailto:study@put.poznan.pl","English"
"Technological sciences","Electrical engineering","Master's Programme","full-time programme","Wrocław University of Science and Technology","https://go-poland.pl/university/wroclaw-university-technology","https://study.gov.pl/wroc-aw-university-technology-14","mailto:admission@pwr.edu.pl","English"
"Technological sciences","Electrical engineering","Master's Programme","full-time programme","AGH University of Science and Technology","https://go-poland.pl/university/agh-university-science-and-technology","https://study.gov.pl/agh-university-science-and-technology-5","mailto:international.students@agh.edu.pl","English"
"Science","Electrical engineering","Bachelor Programme","full-time programme","Silesian University of Technology","https://go-poland.pl/university/silesian-university-technology","https://study.gov.pl/silesian-univeristy-technology","mailto:study@polsl.pl","English"
"Technological sciences","Electronics","Master's Programme","full-time programme","Wrocław University of Science and Technology","https://go-poland.pl/university/wroclaw-university-technology","https://study.gov.pl/wroc-aw-university-technology-12","mailto:admission@pwr.edu.pl","English"
"Technological sciences","Electronics","Doctoral studies","full-time programme","Bialystok University of Technology","https://go-poland.pl/university/bialystok-university-technology","https://study.gov.pl/bialystok-university-technology-15","mailto:studyatbut@pb.edu.pl","English"
"Technological sciences","Electronics","Master's Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology-23","mailto:foreignstudents@info.p.lodz.pl","English"
"Technological sciences","Electronics and telecommunications","Doctoral studies","full-time programme","Military University of Technology","https://go-poland.pl/university/military-university-technology","https://study.gov.pl/military-university-technology-0","mailto:mwnuk@wat.edu.pl","English"
"Technological sciences","Electronics and telecommunications","Master's Programme","full-time programme","Bialystok University of Technology","https://go-poland.pl/university/bialystok-university-technology","https://study.gov.pl/bialystok-university-technology-6","mailto:studyatbut@pb.edu.pl","English"
"Technological sciences","Electronics and telecommunications","Master's Programme","full-time programme","Gdańsk University of Technology","http://www.pg.edu.pl","https://study.gov.pl/gda-sk-university-technology-4","mailto:study@pg.edu.pl","English"
"Technological sciences","Electronics and telecommunications","Master's Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-12","mailto:study@put.poznan.pl","English"
"Technological sciences","Electronics and telecommunications","Master's Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-13","mailto:study@put.poznan.pl","English"
"Technological sciences","Electronics and telecommunications","Bachelor Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-1","mailto:study@put.poznan.pl","English"
"Technological sciences","Electronics and telecommunications","Master's Programme","full-time programme","Military University of Technology","https://wel.wat.edu.pl/en/","https://study.gov.pl/military-university-technology-3","mailto:sekretariat.wel@wat.edu.pl","English"
"Technological sciences","Electronics and telecommunications","Bachelor Programme","full-time programme","AGH University of Krakow","https://www.agh.edu.pl/","https://study.gov.pl/agh-university-krakow-1","mailto:international.students@agh.edu.pl","English"
"Technological sciences","Energetics","Master's Programme","full-time programme","AGH University of Science and Technology","https://go-poland.pl/university/agh-university-science-and-technology","https://study.gov.pl/agh-university-science-and-technology-10","mailto:international.students@agh.edu.pl","English"
"Technological sciences","Energetics","Master's Programme","full-time programme","Poznan University of Technology","https://go-poland.pl/university/poznan-university-technology","https://study.gov.pl/poznan-university-technology-19","mailto:study@put.poznan.pl","English"
"Technological sciences","Energy Technologies","Master's Programme","full-time programme","Lodz University of Technology","https://p.lodz.pl/en","https://study.gov.pl/lodz-university-technology-7","mailto:foreignstudents@info.p.lodz.pl","English"
"Humanities","English in public communication","Bachelor Programme","full-time programme","University of Opole","https://go-poland.pl/university/university-opole","https://study.gov.pl/university-opole-0","mailto:hello@uni.opole.pl","English"
"Humanities","English module","Non-degree programme","full-time programme","Cracow University of Economics","https://go-poland.pl/university/cracow-university-economics","https://study.gov.pl/cracow-university-economics-13","mailto:joanna.rozycka@uek.krakow.pl","English"
"Social sciences","English module","Non-degree programme","full-time programme","Lazarski University","https://www.lazarski.pl/en/","https://study.gov.pl/lazarski-university-8","mailto:recruitment@lazarski.edu.pl","English"
"Humanities","English studies","Bachelor Programme","full-time programme","Nicolaus Copernicus University","https://go-poland.pl/university/nicolaus-copernicus-university","https://study.gov.pl/nicolaus-copernicus-university-0","mailto:studywithncu@umk.pl","English"
"Humanities","English studies","Master's Programme","full-time programme","Nicolaus Copernicus University","https://go-poland.pl/university/nicolaus-copernicus-university","https://study.gov.pl/nicolaus-copernicus-university","mailto:studywithncu@umk.pl","English"
"Humanities","English studies","Master's Programme","full-time programme","University of Opole","https://go-poland.pl/university/university-opole","https://study.gov.pl/university-opole-1","mailto:hello@uni.opole.pl","English"
"Humanities","English studies","Master's Programme","full-time programme","University of Zielona Góra","https://uz.zgora.pl","https://study.gov.pl/university-zielona-gora-13","mailto:a.mobley@in.uz.zgora.pl","English"
"Humanities","English studies","Bachelor Programme","full-time programme","SWPS University","https://english.swps.pl/","https://study.gov.pl/swps-university-9","mailto:admissions@swps.edu.pl","English"
"Humanities","English studies","Master's Programme","full-time programme","SWPS University","https://english.swps.pl/","https://study.gov.pl/swps-university-13","mailto:admissions@swps.edu.pl","English"
"Humanities","English studies","Master's Programme","full-time programme","University of Bialystok","https://study.gov.pl/university/university-bialystok","https://study.gov.pl/university-bialystok-2","mailto:studyinuwb@uwb.edu.pl","English"
"Humanities","English studies","Bachelor Programme","full-time programme","State Higher Vocational School in Walcz","http://www.pwsz.eu","https://study.gov.pl/state-higher-vocational-school-walcz","mailto:erasmus@pwsz.eu","English"
"Humanities","English studies","Bachelor Programme","full-time programme","University of Warsaw","https://go-poland.pl/university/university-warsaw","https://study.gov.pl/university-warsaw-30","mailto:sekretariat.angli@uw.edu.pl","English"
"Humanities","English studies","Bachelor Programme","full-time programme","Wszechnica Polska Academy of Applied Sciences in Warsaw","https://wszechnicapolska.edu.pl/en-ru-ua/english","https://study.gov.pl/wszechnica-polska-academy-applied-sciences-warsaw","mailto:rekrutacja@wszechnicapolska.edu.pl","English"
"Humanities","English studies","Master's Programme","full-time programme","University of Warsaw","https://go-poland.pl/university/university-warsaw","https://study.gov.pl/university-warsaw-31","mailto:sekretariat.angli@uw.edu.pl","English"
"Humanities","English studies","Bachelor Programme","full-time programme","University of Bialystok","https://study.gov.pl/university/university-bialystok","https://study.gov.pl/university-bialystok","mailto:studyinuwb@uwb.edu.pl","English"
"Humanities","English studies","Master's Programme","full-time programme","University of Lodz","https://go-poland.pl/university/university-lodz","https://study.gov.pl/university-lodz-7","mailto:admission@uni.lodz.pl","English"
"Humanities","English studies","Bachelor Programme","full-time programme","University of Opole","https://go-poland.pl/university/university-opole","https://study.gov.pl/university-opole","mailto:hello@uni.opole.pl","English"
"Humanities","English studies","Bachelor Programme","full-time programme","University of Economics and Human Sciences in Warsaw","https://study.gov.pl/university/university-economics-and-human-sciences-warsaw","https://study.gov.pl/university-economics-and-human-sciences-warsaw-7","mailto:ENROLLMENT@VIZJA.PL","English"
