"Programme","Programme_URL","Institution","ECTS","Language","Degree_Level"
"Postgraduate Clinical Anatomy","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/postgraduate-clinical-anatomy","Vrije Universiteit Brussel","21 ECTS","English","Postgraduate"
"Postgraduate Creative Belgium School","https://www.studyinflanders.behttps://thomasmore.be/en/educations/postgraduates/creative-belgium-school/mechelen/full-programme","Thomas More University of Applied Sciences","60 ECTS","English","Postgraduate"
"Postgraduate Curatorial Studies","https://www.studyinflanders.behttps://studiekiezer.ugent.be/postgraduate-curatorial-studies-en","Ghent University","60 ECTS","English","Postgraduate"
"Postgraduate Curatorial Studies","https://www.studyinflanders.behttps://www.schoolofartsgent.be/en/","HOGENT University of Applied Sciences and Arts","48 ECTS","English","Postgraduate"
"Postgraduate Digital and IT Essentials","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/postgraduate-digital-it-essentials","Vrije Universiteit Brussel","33 ECTS","English","Postgraduate"
"Postgraduate E-sports Manager (Esports Manager)","https://www.studyinflanders.behttps://thomasmore.be/en/educations/postgraduate/esports-manager/turnhout/remote-programme","Thomas More University of Applied Sciences","60 ECTS","English","Postgraduate"
"Postgraduate Economic Diplomacy","https://www.studyinflanders.behttps://brusselsdiplomaticacademy.eu/education-and-training/postgraduate-programmes/","Vrije Universiteit Brussel","66 ECTS","English","Postgraduate"
"Postgraduate European Policy Making","https://www.studyinflanders.behttps://brussels-school.be/education/certificate-programmes/postgraduate-certificate-eu-policy-making","Vrije Universiteit Brussel","25 ECTS","English","Postgraduate"
"Postgraduate Executive Summer School Social Security","https://www.studyinflanders.behttps://www.kuleuven.be/pg/PGESSSL","KU Leuven","20 ECTS","English","Postgraduate"
"Postgraduate Expert in Medical Physics","https://www.studyinflanders.behttps://www.vub.be/en/postgraduate-certificate-expert-in-medical-physics","Vrije Universiteit Brussel","60 ECTS","English","Postgraduate"
"Postgraduate Flagship Programme in Economic Diplomacy and International Business","https://www.studyinflanders.behttps://brusselsdiplomaticacademy.eu/education-and-training/postgraduate-programmes/","Vrije Universiteit Brussel","99 ECTS","English","Postgraduate"
"Postgraduate Hydrography B","https://www.studyinflanders.behttps://studiekiezer.ugent.be/postgraduate-hydrography-b-en","Antwerp Maritime Academy
														
																																									Ghent University","60 ECTS","English","Postgraduate"
"Postgraduate International Football Business","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/international-football-business","Vrije Universiteit Brussel","60 ECTS","English","Postgraduate"
"Postgraduate International Teacher","https://www.studyinflanders.behttps://thomasmore.be/en/educations/postgraduates/international-teacher/mechelen/full-programme","Thomas More University of Applied Sciences","60 ECTS","English","Postgraduate"
"Postgraduate International Trade and Investment","https://www.studyinflanders.behttps://brusselsdiplomaticacademy.eu/education-and-training/postgraduate-programmes/","Vrije Universiteit Brussel","66 ECTS","English","Postgraduate"
"Postgraduate Interuniversity Certificate Embedded Systems","https://www.studyinflanders.behttps://www.vub.be/en/postgraduate-certificate-embedded-systems","Vrije Universiteit Brussel","22 ECTS","English","Postgraduate"
"Postgraduate Leading Change by Design","https://www.studyinflanders.behttps://www.uantwerpen.be/en/study/programmes/all-programmes/leading-change-by-design/","University of Antwerp","30 ECTS","English","Postgraduate"
"Postgraduate Musical Performance Practice","https://www.studyinflanders.behttps://www.schoolofartsgent.be/en/","HOGENT University of Applied Sciences and Arts","32 ECTS","English","Postgraduate"
"Postgraduate of Asia - Europe Cultural Curatorship Studies (Asia-EU CSS)","https://www.studyinflanders.behttps://www.uantwerpen.be/en/study/programmes/all-programmes/asia-eu-cultural-curatorship/","University of Antwerp","50 ECTS","English","Postgraduate"
"Postgraduate of Energy and Climate (IMDO)","https://www.studyinflanders.behttps://www.uantwerpen.be/en/study/education-and-training/postgraduate-energy-climate/profile/","University of Antwerp","30 ECTS","English","Postgraduate"
"Postgraduate of Epidemiology","https://www.studyinflanders.behttps://www.uantwerpen.be/en/study/programmes/all-programmes/postgraduate-epidemiology/","University of Antwerp","60 ECTS","English","Postgraduate"
"Postgraduate Oncoplastic Surgery","https://www.studyinflanders.behttps://www.vub.be/en/study/oncoplastic-surgery#about-","Vrije Universiteit Brussel","55 ECTS","English","Postgraduate"
"Postgraduate Pharma and Healthcare Logistics","https://www.studyinflanders.behttps://thomasmore.be/en/educations/postgraduates/pharma-healthcare-logistics/mechelen/full-programme","Thomas More University of Applied Sciences","54 ECTS","English","Postgraduate"
"Postgraduate Programme European Module Spatial Development Planning","https://www.studyinflanders.behttps://www.kuleuven.be/pg/PGEMSDL","KU Leuven","30 ECTS","English","Postgraduate"
"Postgraduate Programme in Biomedical Engineering","https://www.studyinflanders.behttps://www.kuleuven.be/pg/PGBEL","KU Leuven","39 ECTS","English","Postgraduate"
"Postgraduate Programme in Innovation and Entrepreneurship in Engineering Advanced","https://www.studyinflanders.behttp://www.kuleuven.be/pg/PGIEE","KU Leuven","60 ECTS","English","Postgraduate"
"Postgraduate Programme in Innovation and Entrepreneurship in Engineering Foundations","https://www.studyinflanders.behttp://www.kuleuven.be/pg/PGIEE","KU Leuven","60 ECTS","English","Postgraduate"
"Postgraduate Programme in Specialised Translation","https://www.studyinflanders.behttps://www.kuleuven.be/pg/PGSTA","KU Leuven","60 ECTS","English","Postgraduate"
"Postgraduate Programme in Translation Technology","https://www.studyinflanders.behttps://www.arts.kuleuven.be/english/education/PGTT/programme","KU Leuven","60 ECTS","English","Postgraduate"
"Postgraduate programme Malting and Brewing Sciences","https://www.studyinflanders.behttps://www.biw.kuleuven.be/en/study/programmes/postgrad/maltingbrewing/postgraduate-in-malting-and-brewing-program","KU Leuven","45 ECTS","English","Postgraduate"
"Postgraduate Rehabilitation & Human Sustainable Technology","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/postgraduate-rehabilitation-human-sustainable-technology","Vrije Universiteit Brussel","50 ECTS","English","Postgraduate"
"Postgraduate School of Thinking","https://www.studyinflanders.behttps://www.vub.be/en/postgraduate-school-of-thinking","Vrije Universiteit Brussel","29 ECTS","English","Postgraduate"
"Postgraduate Space & Service Design","https://www.studyinflanders.behttps://thomasmore.be/en/educations/postgraduates/space-and-service-design/mechelen/full-programme","Thomas More University of Applied Sciences","60 ECTS","English","Postgraduate"
"Postgraduate Studies in Advanced Medical Imaging","https://www.studyinflanders.behttps://www.kuleuven.be/pg/PGAMIL","KU Leuven","57 ECTS","English","Postgraduate"
"Postgraduate Studies in Big Data and Analytics in Business and Management","https://www.studyinflanders.behttps://www.kuleuven.be/pg/PGBDABML","KU Leuven","20 ECTS","English","Postgraduate"
"Postgraduate Studies in Blue Resources for the Blue Economy","https://www.studyinflanders.behttps://studiekiezer.ugent.be/postgraduate-studies-in-blue-resources-for-the-blue-economy-en/","Ghent University","40 ECTS","English","Postgraduate"
"Postgraduate Studies in Fire Safety Engineering","https://www.studyinflanders.behttps://studiekiezer.ugent.be/postgraduate-studies-in-fire-safety-engineering-en","Ghent University","60 ECTS","English","Postgraduate"
"Postgraduate Studies in Pharmaceutical Research","https://www.studyinflanders.behttps://www.kuleuven.be/pg/PGPRL","KU Leuven","60 ECTS","English","Postgraduate"
"Postgraduate Studies in Weather and Climate Modeling","https://www.studyinflanders.behttps://studiekiezer.ugent.be/postgraduate-studies-in-weather-and-climate-modeling-en","Ghent University","33 ECTS","English","Postgraduate"
"Postgraduate Unmanned Aircraft Systems","https://www.studyinflanders.behttps://continue.vives.be/nl/opleidingen/postgraduaat-unmanned-aircraft-systems#card-course-description","VIVES University of Applied Sciences","27 ECTS","English","Postgraduate"
"ALGAR 2025: linear algebraic groups and algebras with involution","https://www.studyinflanders.behttp://www.uantwerpen.be/algar","University of Antwerp","3 ECTS","English","Summer Course"
"Artistic Architectural Illustration of Climate Resilient Cityscapes","https://www.studyinflanders.behttp://www.uantwerpen.be/architectural-illustration","University of Antwerp","3 ECTS","English","Summer Course"
"Arts and Media Archeology: Performing Media Histories","https://www.studyinflanders.behttp://www.uantwerpen.be/arts-media-archaeology","University of Antwerp","6 ECTS","English","Summer Course"
"Biotech Summer School","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/personal-development-during-your-studies/summer-and-winter-schools","Vrije Universiteit Brussel","3 ECTS","English","Summer Course"
"Books and Culture: The Religious Image","https://www.studyinflanders.behttp://www.uantwerpen.be/books-culture-summer-school","University of Antwerp","3 ECTS","English","Summer Course"
"CETRA Summer School","https://www.studyinflanders.behttps://www.arts.kuleuven.be/cetra/programme/programme","KU Leuven","0 ECTS","English","Summer Course"
"Children's literature","https://www.studyinflanders.behttp://www.uantwerpen.be/childlit-summer-school","University of Antwerp","6 ECTS","English","Summer Course"
"Christian Heritage: Miracles Matter","https://www.studyinflanders.behttp://www.uantwerpen.be/christian-heritage","University of Antwerp","3 ECTS","English","Summer Course"
"CityLAB XI: The Sustainable City","https://www.studyinflanders.behttp://www.uantwerpen.be/citylab-sustainable-city","University of Antwerp","3 ECTS","English","Summer Course"
"Companies crossing borders","https://www.studyinflanders.behttp://www.uantwerpen.be/companies-crossing-borders","University of Antwerp","3 ECTS","English","Summer Course"
"Digital Humanities: Making a Digital Edition – Basic Skills and Technologies","https://www.studyinflanders.behttp://www.uantwerpen.be/digital-humanities","University of Antwerp","6 ECTS","English","Summer Course"
"Energy Transitioning","https://www.studyinflanders.behttp://www.uantwerpen.be/energy-transitioning/","University of Antwerp","3 ECTS","English","Summer Course"
"Engineering Summer School","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/personal-development-during-your-studies/summer-and-winter-schools","Vrije Universiteit Brussel","0 ECTS","English","Summer Course"
"English for academic purposes","https://www.studyinflanders.behttp://www.uantwerpen.be/summer-school-academic-english","University of Antwerp","3 ECTS","English","Summer Course"
"EU Policy Making","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/personal-development-during-your-studies/summer-and-winter-schools","Vrije Universiteit Brussel","5 ECTS","English","Summer Course"
"Europe inside out","https://www.studyinflanders.behttps://www.kuleuven.be/english/summer-schools/europe-inside-out-2022/home","KU Leuven","6 ECTS","English","Summer Course"
"Executive Summer School in Social Security","https://www.studyinflanders.behttps://www.law.kuleuven.be/EMSS/summer-school","KU Leuven","10 ECTS","English","Summer Course"
"Familes, Law and Religion","https://www.studyinflanders.behttps://www.uantwerpen.be/ijs-summerschool/","University of Antwerp","3 ECTS","English","Summer Course"
"Finance 4 Development","https://www.studyinflanders.behttp://www.uantwerpen.be/finance4development","University of Antwerp","4 ECTS","English","Summer Course"
"INSPIRE Summer School: Cardiovascular Safety Pharmacology in Drug Development","https://www.studyinflanders.behttp://www.uantwerpen.be/inspire","University of Antwerp","3 ECTS","English","Summer Course"
"Inter- and Transdisciplinary Research","https://www.studyinflanders.behttp://www.uantwerpen.be/itd-research","University of Antwerp","3 ECTS","English","Summer Course"
"Laboratory Animal Sciences – FUNCTION B","https://www.studyinflanders.behttp://www.uantwerpen.be/summerschool-LAS","University of Antwerp","6 ECTS","English","Summer Course"
"Legal technology and legal innovation","https://www.studyinflanders.behttp://www.uantwerpen.be/legal-technology-legal-innovation","University of Antwerp","3 ECTS","English","Summer Course"
"LL.M. Summer School","https://www.studyinflanders.behttps://www.law.kuleuven.be/llm/llm-summer-school","KU Leuven","0 ECTS","English","Summer Course"
"Master Class Agile Enterprise Architecture & Engineering (part 1-2-3)","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/enterprise-architecture-engineering?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_AEAE","Antwerp Management School","24 ECTS","English","Summer Course"
"Master Class Corporate Governance, Risk & Compliance","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-class-corporate-governance-risk-compliance-grc?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_GRC","Antwerp Management School","6 ECTS","English","Summer Course"
"Master Class Cyber Security Management","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-class-cyber-security-management?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_CSM","Antwerp Management School","9 ECTS","English","Summer Course"
"Master Class Organizing for Innovation","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/masterclass-organizing-for-innovation?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_OFI","Antwerp Management School","6 ECTS","English","Summer Course"
"Master Class Start to Lead","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/start-to-lead?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_STL","Antwerp Management School","0 ECTS","English","Summer Course"
"Master Class Sustainable HR","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/sustainable-hr?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_Sustainable_HR","Antwerp Management School","0 ECTS","English","Summer Course"
"Master Class Sustainable Strategy","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/sustainable-strategy?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_MST_Strategy","Antwerp Management School","0 ECTS","English","Summer Course"
"Modelling infectious diseases and health economics","https://www.studyinflanders.behttp://www.uantwerpen.be/infectious-diseases","University of Antwerp","3 ECTS","English","Summer Course"
"Non-Commutative Algebraic Geometry","https://www.studyinflanders.behttp://www.uantwerpen.be/ncag","University of Antwerp","3 ECTS","English","Summer Course"
"Philosophy and Society Summer School - Climate Activism","https://www.studyinflanders.behttp://www.uantwerpen.be/climate-action","University of Antwerp","6 ECTS","English","Summer Course"
"Philosophy and society: MicroStories. Philopsophy and Ethics of Microbes","https://www.studyinflanders.behttp://www.uantwerpen.be/microstories","University of Antwerp","6 ECTS","English","Summer Course"
"Qualitative Research Methods in Health Care","https://www.studyinflanders.behttp://www.uantwerpen.be/qualitative-research-health-care","University of Antwerp","3 ECTS","English","Summer Course"
"Responsible Fashion Management","https://www.studyinflanders.behttp://www.uantwerpen.be/fashion-management","University of Antwerp","3 ECTS","English","Summer Course"
"Service Design for a Social City","https://www.studyinflanders.behttp://www.uantwerpen.be/social-city-design","University of Antwerp","3 ECTS","English","Summer Course"
"Software Testing and Beyond","https://www.studyinflanders.behttp://www.uantwerpen.be/testing-and-beyond","University of Antwerp","6 ECTS","English","Summer Course"
"Summer School on Animal Law, Rights and Representation","https://www.studyinflanders.behttp://www.uantwerpen.be/animal-law","University of Antwerp","3 ECTS","English","Summer Course"
"Summer School on Pandemic Preparedness","https://www.studyinflanders.behttp://www.uantwerpen.be/summerschool-pandemic-preparedness","University of Antwerp","3 ECTS","English","Summer Course"
"Summer School on the Law, Ethics and Policy of Artificial Intelligence","https://www.studyinflanders.behttps://www.law.kuleuven.be/ai-summer-school/","KU Leuven","3 ECTS","English","Summer Course"
"Summer School on Urban Logistics","https://www.studyinflanders.behttp://www.uantwerpen.be/urban-logistics","University of Antwerp","3 ECTS","English","Summer Course"
"Summer School on Vaccinology","https://www.studyinflanders.behttp://www.uantwerpen.be/summerschool-vaccinology","University of Antwerp","3 ECTS","English","Summer Course"
"W.A.T.E.R. Summer School","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/personal-development-during-your-studies/summer-and-winter-schools","Vrije Universiteit Brussel","3 ECTS","English","Summer Course"
"European Solidarity in the Making","https://www.studyinflanders.behttp://www.uantwerpen.be/european-solidarity","University of Antwerp","6 ECTS","English","Winter School"
"Feminism and Motherhood","https://www.studyinflanders.behttp://www.uantwerpen.be/feminismandmotherhood","University of Antwerp","6 ECTS","English","Winter School"
"Food Systems Law and Policy","https://www.studyinflanders.behttp://www.uantwerpen.be/foodlaw","University of Antwerp","3 ECTS","English","Winter School"
"From Mine to Finger - A deep dive into the world of diamonds","https://www.studyinflanders.behttp://www.uantwerpen.be/mine-to-finger","University of Antwerp","3 ECTS","English","Winter School"
"IDW 2025 - International Design Workshop Week","https://www.studyinflanders.behttp://www.uantwerpen.be/idw-winterschool","University of Antwerp","3 ECTS","English","Winter School"
"Leadership in Law: Develop your personal leadership skills","https://www.studyinflanders.behttp://www.uantwerpen.be/leadership-in-law","University of Antwerp","3 ECTS","English","Winter School"
"Master Class Airline Management & Strategy","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/airline-management-strategy?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_Airline_Management","Antwerp Management School","6 ECTS","English","Winter School"
"Master Class Business Strategy & Leadership","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/business-strategy-leadership?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_BSL","Antwerp Management School","0 ECTS","English","Winter School"
"Master Class Circular Strategy & Business Model Innovation","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/circular-strategy-business-model-innovation?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_MST_BMI","Antwerp Management School","0 ECTS","English","Winter School"
"Master Class Coaching Skills for Leaders","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/coaching-skills-for-leaders-2?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_CSL","Antwerp Management School","0 ECTS","English","Winter School"
"Master Class Cyber Security Architecture & Technologies","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-class-cyber-security-architecture-technologies?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_CSAT","Antwerp Management School","9 ECTS","English","Winter School"
"Master Class Data Science and AI for Business","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-class-data-science-for-business?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_DSAIB","Antwerp Management School","6 ECTS","English","Winter School"
"Master Class Digital Transformation: Strategy & Leadership","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-class-digital-transformation-strategy-leadership?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_DSL","Antwerp Management School","12 ECTS","English","Winter School"
"Master Class Governance & Management of Digital Assets","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-class-governance-management-digital-assets?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_GMDA","Antwerp Management School","9 ECTS","English","Winter School"
"Master Class Leading from the Middle","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/leading-from-the-middle?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_LFTM","Antwerp Management School","0 ECTS","English","Winter School"
"Master Class Maritime Economics & Business","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/masterclass-maritime-economics?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_Maritime","Antwerp Management School","6 ECTS","English","Winter School"
"Master Class Port Economics & Business","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/port-economics?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_Port_Economics","Antwerp Management School","6 ECTS","English","Winter School"
"Master Class Supply Chain & Logistics","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/global-supply-chain-logistics?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_GSL","Antwerp Management School","0 ECTS","English","Winter School"
"Master Class Sustainable Communication & Reporting","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/sustainable-communication-reporting?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_MST_Communication_Reporting","Antwerp Management School","0 ECTS","English","Winter School"
"Master Class Sustainable Supply Chains","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/sustainable-supply-chain?utm_source=SIF&utm_medium=studyportal&utm_campaign=SIF_Program_MST_Supply","Antwerp Management School","0 ECTS","English","Winter School"
"Pharma Logistics","https://www.studyinflanders.behttp://www.uantwerpen.be/pharma-logistics","University of Antwerp","3 ECTS","English","Winter School"
"Researching Open Innovation","https://www.studyinflanders.behttp://www.uantwerpen.be/winterschool-OI","University of Antwerp","5 ECTS","English","Winter School"
"Sustainable Transport, Shipping and Logistics","https://www.studyinflanders.behttp://www.uantwerpen.be/refocus ","University of Antwerp","3 ECTS","English","Winter School"
"Water, Relationality and Ethics","https://www.studyinflanders.behttp://www.uantwerpen.be/water-ethics","University of Antwerp","6 ECTS","English","Winter School"
"Winter School IDW 2024 - International Design Workshop Week","https://www.studyinflanders.behttp://www.uantwerpen.be/idw-winterschool","University of Antwerp","3 ECTS","English","Winter School"
"Winter school on Electrocatalysis","https://www.studyinflanders.behttp://www.uantwerpen.be/winterschool-electrocatalysis","University of Antwerp","3 ECTS","English","Winter School"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/ecole-superieure-des-arts-saint-luc-de-bruxelles","Ecole supérieure des Arts Saint-Luc de Bruxelles","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/arts2","Arts²","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/ecole-superieure-des-arts-saint-luc-liege","École Supérieure des Arts Saint-Luc Liège","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/universite-de-mons","Université de Mons","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/ecole-superieure-des-arts-ecole-de-recherche-graphique","Ecole supérieure des Arts – Ecole de Recherche graphique","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/ecole-superieure-des-arts-ecole-de-recherche-graphique","Ecole supérieure des Arts – Ecole de Recherche graphique","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/haute-ecole-francisco-ferrer","Haute Ecole Francisco Ferrer","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/academie-royale-des-beaux-arts-de-la-ville-de-bruxelles","Académie royale des Beaux-Arts de la Ville de Bruxelles","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/haute-ecole-ichec-ecam-isfsc","Haute Ecole ICHEC - ECAM - ISFSC","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/universite-libre-de-bruxelles","Université libre de Bruxelles","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/ecole-superieure-des-arts-ecole-de-recherche-graphique","Ecole supérieure des Arts – Ecole de Recherche graphique","30","French","Postgraduate"
"Agrégation de l'Enseignement Secondaire Supérieur","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","30","French","Postgraduate"
"Agrégé de l'enseignement secondaire supérieur","https://www.studyinbelgium.be/en/universite-de-namur","Université de Namur","30","French","Postgraduate"
"Agrégé de l'enseignement secondaire supérieur","https://www.studyinbelgium.be/en/institut-des-arts-de-diffusion","Institut des Arts de Diffusion","30","French","Postgraduate"
"Agrégé de l'enseignement secondaire supérieur","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","30","French","Postgraduate"
"Bachelor Holder of a lower secondary education teaching degree : Music","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Plastic arts","https://www.studyinbelgium.be/en/haute-ecole-de-la-ville-de-liege","Haute Ecole de la ville de Liège","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Plastic arts","https://www.studyinbelgium.be/en/haute-ecole-albert-jacquard","Haute Ecole Albert Jacquard","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Plastic arts","https://www.studyinbelgium.be/en/haute-ecole-en-hainaut","Haute Ecole en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Plastic arts","https://www.studyinbelgium.be/en/haute-ecole-ephec","Haute Ecole Ephec","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Wood - building","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Wood - building","https://www.studyinbelgium.be/en/haute-ecole-louvain-en-hainaut","Haute École Louvain en Hainaut","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Economics of the family and social economics","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Economics of the family and social economics","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Economics of the family and social economics","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Economics of the family and social economics","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Economics of the family and social economics","https://www.studyinbelgium.be/en/haute-ecole-de-la-ville-de-liege","Haute Ecole de la ville de Liège","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Physical education","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Physical education","https://www.studyinbelgium.be/en/haute-ecole-provinciale-de-hainaut-condorcet","Haute Ecole provinciale de Hainaut – Condorcet","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Physical education","https://www.studyinbelgium.be/en/haute-ecole-de-namur-liege-luxembourg","Haute École de Namur-Liège-Luxembourg","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Physical education","https://www.studyinbelgium.be/en/haute-ecole-bruxelles-brabant","Haute Ecole Bruxelles-Brabant","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Physical education","https://www.studyinbelgium.be/en/haute-ecole-libre-mosane","Haute Ecole Libre Mosane","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Physical education","https://www.studyinbelgium.be/en/haute-ecole-charlemagne","Haute Ecole Charlemagne","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Physical education","https://www.studyinbelgium.be/en/haute-ecole-robert-schuman","Haute Ecole Robert Schuman","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Physical education","https://www.studyinbelgium.be/en/haute-ecole-de-la-province-de-liege","Haute Ecole de la Province de Liège","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Physical education","https://www.studyinbelgium.be/en/haute-ecole-francisco-ferrer","Haute Ecole Francisco Ferrer","180","French","Bachelor"
"Bachelor Holder of a lower secondary education teaching degree : Physical education","https://www.studyinbelgium.be/en/haute-ecole-leonard-de-vinci","Haute Ecole Léonard de Vinci","180","French","Bachelor"
