"University","Degree","Level","Language","Credits_Percent","Area","ECTS_Foreign","Cost_per_ECTS","ECTS","Subjects_Foreign","Linguistic_Requirements","Program_Link"
"UNIVERSIDAD CARLOS III","Dual Bachelor in International Studies and Law","Bachelor","English",">50%",NA,">182","113.71","364",">50%","Must present during the first year a B2 level in English: taking a test or presenting one of the certificates permited or as the University establishes. During the first weeks of classes students will be told how to present it.","https://www.uc3m.es/ss/Satellite/Grado/en/Detalle/Estudio_C/1371212128171/1371212987094/Dual_Bachelor_in_International_Studies_and_Law"
"UNIVERSIDAD CARLOS III","Bachelor?s  Audiovisual  System Engineering","Bachelor","English",">50%",NA,">120","128.57","240 (4 years)",">50%","Must present during the first year a B2 level in English: taking a test or presenting one of the certificates permited or as the University establishes. During the first weeks of classes students will be told how to present it.","https://www.uc3m.es/ss/Satellite/Grado/en/Detalle/Estudio_C/1371212533644/1371212987094/Bachelor_s_Degree_in_Audiovisual_System_Engineering"
"UNIVERSIDAD CARLOS III","Bachelor?s  Communication System Engineering","Bachelor","English",">50%",NA,">120","128.57","240 (4 years)",">50%","Must present during the first year a B2 level in English: taking a test or presenting one of the certificates permited or as the University establishes. During the first weeks of classes students will be told how to present it.","https://www.uc3m.es/ss/Satellite/Grado/en/Detalle/Estudio_C/1371212485394/1371212987094/Bachelor_s_Degree_in_Communication_System_Engineering"
"UNIVERSIDAD CARLOS III","Bachelor?s  Electric Engineering","Bachelor","English",">50%",NA,">120","128.57","240 (4 years)",">50%","Must present during the first year a B2 level in English: taking a test or presenting one of the certificates permited or as the University establishes. During the first weeks of classes students will be told how to present it.","https://www.uc3m.es/ss/Satellite/Grado/en/Detalle/Estudio_C/1371212537846/1371212987094/Bachelor_s_Degree_in_Electrical_Power_Engineering"
"UNIVERSIDAD CARLOS III","Bachelor?s  Industrial Electronics and Automation Engineering","Bachelor","English",">50%",NA,">120","128.57","240 (4 years)",">50%","Must present during the first year a B2 level in English: taking a test or presenting one of the certificates permited or as the University establishes. During the first weeks of classes students will be told how to present it.","https://www.uc3m.es/ss/Satellite/Grado/en/Detalle/Estudio_C/1371212539645/1371212987094/Bachelor_s_Degree_in_Industrial_Electronics_and_Automation_Engineering"
"UNIVERSIDAD CARLOS III","Bachelor?s  Telecommunication Technologies Engineering","Bachelor","English",">50%",NA,">120","128.57","240 (4 years)",">50%","Must present during the first year a B2 level in English: taking a test or presenting one of the certificates permited or as the University establishes. During the first weeks of classes students will be told how to present it.","https://www.uc3m.es/ss/Satellite/Grado/en/Detalle/Estudio_C/1371212345976/1371212987094/Bachelor_s_Degree_in_Telecommunication_Technologies_Engineering"
"UNIVERSIDAD CARLOS III","Bachelor?s  Industrial Technologies Engineering","Bachelor","English",">50%",NA,">120","128.57","240 (4 years)",">50%","Must present during the first year a B2 level in English: taking a test or presenting one of the certificates permited or as the University establishes. During the first weeks of classes students will be told how to present it.","https://www.uc3m.es/ss/Satellite/Grado/en/Detalle/Estudio_C/1371212314299/1371212987094/Bachelor_s_Degree_in_Industrial_Technologies_Engineering"
"UNIVERSIDAD CARLOS III","bachelor?s  Computer Engineering","Bachelor","English",">50%",NA,">120","128.57","240 (4 years)",">50%","Must present during the first year a B2 level in English: taking a test or presenting one of the certificates permited or as the University establishes. During the first weeks of classes students will be told how to present it.","https://www.uc3m.es/ss/Satellite/Grado/en/Detalle/Estudio_C/1371212562160/1371212987094/Bachelor_s_Degree_in_Computer_Science_and_Engineering"
"UNIVERSIDAD CARLOS III","Bachelor?s  Mechanical Engineering","Bachelor","English",">50%",NA,">120","128.57","240 (4 years)",">50%","Must present during the first year a B2 level in English: taking a test or presenting one of the certificates permited or as the University establishes. During the first weeks of classes students will be told how to present it.","https://www.uc3m.es/ss/Satellite/Grado/en/Detalle/Estudio_C/1371212559812/1371212987094/Bachelor_s_Degree_in_Mechanical_Engineering"
"UNIVERSIDAD CARLOS III","Bachelor?s  Telematics Engineering","Bachelor","English",">50%",NA,">120","128.57","240 (4 years)",">50%","Must present during the first year a B2 level in English: taking a test or presenting one of the certificates permited or as the University establishes. During the first weeks of classes students will be told how to present it.","https://www.uc3m.es/ss/Satellite/Grado/en/Detalle/Estudio_C/1371212560793/1371212987094/Bachelor_s_Degree_in_Telematics_Engineering"
"UNIVERSIDAD DE SALAMANCA","Teacher of Primary Education","Bachelor","French","12,50%",NA,"6 + SPECIALISATION(30)","","240 (4 years)","6 (1º)+5 (OPTIONAL SPECIALIZATION)","B1 level in French",""
"UNIVERSIDAD DE SALAMANCA","Teacher of Early Childhood Education","Bachelor","French","12,50%",NA,"6 + SPECIALISATION(30)","","240 (4 years)","6 (1º)+5 (OPTIONAL SPECIALIZATION)","B1 level in French",""
"UNIVERSIDAD DE SALAMANCA","Teacher of Early Childhood Education","Bachelor","English","12,50%",NA,"6 + SPECIALISATION(30)","","240 (4 years)","6 (1º)+5 (OPTIONAL SPECIALIZATION)","B1 level in English",""
"UNIVERSIDAD DE SALAMANCA","Teacher of Primary Education","Bachelor","English","12,50%",NA,"6 + SPECIALISATION(30)","","240 (4 years)","6 (1º)+5 (OPTIONAL SPECIALIZATION)","B1 level in English",""
"UNIVERSIDAD DE SALAMANCA","Social Education","Bachelor","English","2,5",NA,"6","","240 (4 years)","","",""
"UNIVERSIDAD DE SALAMANCA","Pedagogy","Bachelor","English","2,5",NA,"6","","240 (4 years)","","",""
"UNIVERSIDAD DE SALAMANCA","Teacher of Primary Education","Bachelor","English","2%",NA,"36","","240 (4 years)","6","B1",""
"UNIVERSIDAD DE SALAMANCA","Portuguese and Brazilian Studies","Bachelor","Portuguese","60%",NA,"144","","240 (4 years)","25","It is not necessary to have prior knowledge of Portuguese to take this degree","http://usal.es/portbrasusal"
"UNIVERSIDAD DE SALAMANCA","Translation and Interpretation","Bachelor","German/French/English/Portuguese","40%",NA,"250","","692","45","To pass the access test specific to the degree","http://exlibris.usal.es/index.php/grado-en-traduccion-e-interpretacion"
"UNIVERSIDAD DE SALAMANCA","Languages, Literature and Romance Cultures","Bachelor","French/Italian/Portuguese","",NA,"108 (in compulsory subjects)","","320","18 compulsory subjects and a variable number of electives","All students have access to the degree","http://romanicas.usal.es"
"UNIVERSIDAD DE SALAMANCA","Teacher of Early Childhood Education (University Teacher Training School, Campus in Zamora)","Bachelor","English","12,5% (ONLY THOSE STUDENTS THAT CHOOSE TO SPECIALIZE IN A FOREIGN LANGUAGE: ENGLISH)",NA,"30","20.07","240 (4 years)","5","NOT REQUIRED (STUDENTS MUST PROVE THEY HAVE A B1 LEVEL OF ENGLISH TO ACCESS SPECIALIZATION IN A FOREIGN LANGUAGE: ENGLISH)","http://www.usal.es/node/11"
"UNIVERSIDAD DE SALAMANCA","Teacher of Primary Education (University Teacher Training School, Campus in Zamora)","Bachelor","English","12,5% (ONLY THOSE STUDENTS THAT CHOOSE TO SPECIALIZE IN A FOREIGN LANGUAGE: ENGLISH)",NA,"30","20.07","240 (4 years)","5","NOT REQUIRED (STUDENTS MUST PROVE THEY HAVE A B1 LEVEL OF ENGLISH TO ACCESS SPECIALIZATION IN A FOREIGN LANGUAGE: ENGLISH)","http://www.usal.es/node/11"
"UNIVERSIDAD DE SALAMANCA","Commercial Aviation Pilot and Air Operations","Bachelor","English","100%",NA,"240","64.52  (Theory) and 1.893.75 (Flying)","240 (4 years)","60","Upper Secondary School level","http://www.usal.es/node/21258"
"UNIVERSIDAD DE SALAMANCA","Arabic and Islamic Studies","Bachelor","Arabic","52,50%",NA,"126","","240 (4 years) ECTS","28","None","http://www.usal.es/node/4197"
"UNIVERSIDAD DE SALAMANCA","French","Bachelor","French","60%",NA,"171","17.07 Euros","240 (4 years)","32","A1 French","http://facultadfilologia.usal.es"
"UNIVERSIDAD DE SALAMANCA","Pharmacy","Bachelor","French","1,70%",NA,"5","24.17","300 (5 years)","1","None","https://facultadfarmacia.org/docencia/grado-en-farmacia/"
"UNIVERSIDAD DE SALAMANCA","Italian Studies","Bachelor","Italian","80%",NA,"192","","240 (4 years)","38","None","http://estudiositalianos.usal.es/"
"UNIVERSIDAD DE SALAMANCA","Sociology","Bachelor","English","10,7% of the electives",NA,"12 (16 offered)","","240 (4 years)(192+112)","3 (4 offered)","Upper Secondary school leavers who have passed a university entrance exam",""
"UNIVERSIDAD DE SALAMANCA","English Studies","Bachelor","English","70%",NA,"168","","240 (4 years)","41 (ENGLISH)","A B1-B2 level is recommended","http://www.usal.es/node/4130/presentacion"
"UNIVERSIDAD DE SALAMANCA","German Studies","Bachelor","German/French/English/Portuguese","63%",NA,"150","","240 (4 years)","25","None",""
"UNIVERSIDAD DE SALAMANCA","East Asian Studies","Bachelor","English","40%",NA,"87","","240 (4 years)","17","Knowledge of English","http://www.usal.es/node/50680"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree: Applied Languages ??and Translation - English Studies","Bachelor","English","48,1%",NA,"11486,0","","360","8","","http://www.llenguesaplicadesitraduccio-ea.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree: Applied Languages ??and Translation - English Studies","Bachelor","French","25,5%",NA,"6095,0","","360","2","","http://www.llenguesaplicadesitraduccio-ea.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree: Applied Languages ??and Translation - Hispanic Philology","Bachelor","English","8,2%",NA,"1385,0","","360","2","","http://www.llenguesaplicadesitraduccio-filhisp.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree: Applied Languages ??and Translation - Hispanic Philology","Bachelor","French","5,8%",NA,"0.973","","360","1","","http://www.llenguesaplicadesitraduccio-filhisp.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree: In Human Nutrition and Dietetics and Physiotherapy","Bachelor","English","1,7%",NA,"2.1","","375","0","","http://www.nutricio-fisioterapia.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree:  Law and  Business Administration and Management","Bachelor","English","3,4%",NA,"3.7","","366","2","","http://www.doblegraudretade.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree: in Preschool + in Primary Education","Bachelor","English","7,2%",NA,"13.6","","352","0","","http://www.doblegrauinfantiliprimaria.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree: in Primary Education + in Physical Activity and Sports Sciences","Bachelor","English","2,6%",NA,"4.8","","366","0","","http://www.doblegrauprimariacienciesesport.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree:  Administration and Direction of Companies and  Tourism","Bachelor","German","16,4%",NA,"3","","309","1","","http://www.adetur.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree:  Administration and Direction of Companies and  Tourism","Bachelor","English","8,5%",NA,"1.6","","309","1","","http://www.adetur.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree:  Administration and Direction of Companies and  Tourism","Bachelor","French","6,3%",NA,"1.2","","309","1","","http://www.adetur.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Double bachelor's degree:  Veterinary Medicine and  Animal Science and Production","Bachelor","English","1,7%",NA,"9","","369","0","","http://www.doblegrauvetcpa.udl.cat/es/pla-formatiu/pla-estudis-guies-docents.html"
"UNIVERSITAT DE LLEIDA","Degree Business Administration and Management","Bachelor","English","9,0%",NA,"68.5","","240 (4 years)","6","","http://www.grauade.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Architectural Technology","Bachelor","English","12,3%",NA,"16.1","","240 (4 years)","3","","http://www.grauarquitecturatecnica.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Architectural Technology and Building Construction","Bachelor","English","0,4%",NA,"0.6","","240 (4 years)","1","","http://www.grauarquitecturatecnica.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Biotecnology","Bachelor","English","10,9%",NA,"49.8","","240 (4 years)","5","","http://www.biotecnologia.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Food Science and Technology","Bachelor","English","2,6%",NA,"10.1","","240 (4 years)","1","","http://www.cta.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Biomedical Sciences","Bachelor","English","4,8%",NA,"18","","240 (4 years)","2","","http://www.biomedicina.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Audiovisual Communication and Journalism","Bachelor","English","21,3%",NA,"36","","240 (4 years)","1","","http://www.audiovisual-periodisme.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Audiovisual Communication and Journalism","Bachelor","French","1,8%",NA,"3.4","","240 (4 years)","1","","http://www.audiovisual-periodisme.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Law","Bachelor","English","2,5%",NA,"12.1","","240 (4 years)","1","","http://www.graudret.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Preschool Education","Bachelor","English","2,2%",NA,"12.5","","240 (4 years)","0","","http://www.educacioninfantil.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Primary Education","Bachelor","English","8,2%",NA,"62.8","","240 (4 years)","3","","http://www.educacionprimaria.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Social Education","Bachelor","English","0,5%",NA,"2","","240 (4 years)","1","","http://www.educacionsocial.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Automation and Industrial Electronic Engineering","Bachelor","English","17,2%",NA,"49.4","","240 (4 years)","7","","http://www.grauelectronicaiautomatica.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Forest Engineering","Bachelor","English","1,6%",NA,"7.2","","240 (4 years)","1","","http://www.forestal.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Agricultural and Food Engineering","Bachelor","English","1,3%",NA,"7.2","","240 (4 years)","1","","http://www.geaa.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Computer Engineering","Bachelor","English","13,0%",NA,"54","","240 (4 years)","6","","http://www.grauinformatica.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Mechanical Engineering","Bachelor","English","13,2%",NA,"52.3","","240 (4 years)","7","","http://www.graumecanica.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree English Studies","Bachelor","German","5,2%",NA,"12","","240 (4 years)","2","","http://www.estudisanglesos.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree English Studies","Bachelor","English","78,7%",NA,"180.3","","240 (4 years)","23","","http://www.estudisanglesos.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree English Studies","Bachelor","French","6,7%",NA,"15.4","","240 (4 years)","4","","http://www.estudisanglesos.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree English Studies- Verification","Bachelor","English","83,1%",NA,"60","","240 (4 years)","10","","http://www.estudisanglesos.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree English Studies - Verification","Bachelor","French","16,7%",NA,"12","","240 (4 years)","2","","http://www.estudisanglesos.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Philology Catalan and Occitan Studies","Bachelor","English","0,7%",NA,"0.8","","240 (4 years)","0","","http://www.estudiscatalans.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Philology Catalan and Occitan Studies","Bachelor","French","1,0%",NA,"0.1","","240 (4 years)","1","","http://www.estudiscatalans.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Philology Catalan and Occitan Studies - Verification","Bachelor","English","11,7%",NA,"6","","240 (4 years)","1","","http://www.estudiscatalans.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Philology Catalan and Occitan Studies - Verification","Bachelor","French","2,8%",NA,"1.4","","240 (4 years)","1","","http://www.estudiscatalans.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Hispanic Philology","Bachelor","English","0,5%",NA,"0.5","","240 (4 years)","0","","http://www.estudishispanics.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Hispanic Philology","Bachelor","French","0,3%",NA,"0.4","","240 (4 years)","1","","http://www.estudishispanics.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Hispanic Philology - Verification","Bachelor","French","2,2%",NA,"2.3","","240 (4 years)","1","","http://www.estudishispanics.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Geography","Bachelor","English","1,2%",NA,"1.5","","240 (4 years)","1","","http://www.geografia.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Geography","Bachelor","French","0,4%",NA,"0.6","","240 (4 years)","1","","http://www.geografia.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree History","Bachelor","English","3,6%",NA,"4.3","","240 (4 years)","1","","http://www.historia.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree History","Bachelor","French","0,4%",NA,"0.5","","240 (4 years)","1","","http://www.historia.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Art History","Bachelor","English","2,8%",NA,"0.2","","240 (4 years)","1","","http://www.art.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Art History and managing the artistic heritage - Verification","Bachelor","English","4,0%",NA,"6","","240 (4 years)","1","","http://www.art.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Nursing","Bachelor","English","1,0%",NA,"6","","240 (4 years)","1","","http://www.infermeria.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Human Nutrition and Dietetics","Bachelor","English","2,7%",NA,"9.9","","240 (4 years)","0","","http://www.nutricio.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Medicine","Bachelor","English","1,1%",NA,"15","","240 (4 years)","1","","http://www.graumedicina.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Psychology","Bachelor","English","4,2%",NA,"10.8","","240 (4 years)","1","","http://www.psicologia.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Degree Social Work","Bachelor","English","1,1%",NA,"4","","240 (4 years)","1","","http://www.trabajosocial.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Tourism","Bachelor","German","3,4%",NA,"9","","240 (4 years)","2","","http://www.turisme.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Tourism","Bachelor","English","13,1%",NA,"34.8","","240 (4 years)","8","","http://www.turisme.udl.cat/es/index.html"
"UNIVERSITAT DE LLEIDA","Tourism","Bachelor","French","4,1%",NA,"10.8","","240 (4 years)","2","","http://www.turisme.udl.cat/es/index.html"
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  MATHEMATICS","Bachelor","English","4,76%",NA,"9","35.77 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined. "
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  INDUSTRIAL DESIGN AND PRODUCT DEVELOPMENT ENGINEERING","Bachelor","English","3,23%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  ENERGY ENGINEERING","Bachelor","English","45,45%",NA,"90","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  TEXTILE TECHNOLOGY AND DESIGN ENGINEERING","Bachelor","English","3,23%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  BUSINESS ADMINISTRATION AND MANAGEMENT - EUNCET","Bachelor","English","20%",NA,"42","95,00","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  BUSINESS ADMINISTRATION AND MANAGEMENT - EAE","Bachelor","English","88,57%",NA,"186","108,00","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  MULTIMEDIA STUDIES","Bachelor","English","6,06%",NA,"12","106,00","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  OPTICS AND OPTOMETRY","Bachelor","English","1,67%",NA,"3","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  AGRICULTURAL ENGINEERING","Bachelor","English","6,25%",NA,"12","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  AGRICULTURAL, ENVIRONMENTAL AND LANDSCAPE ENGINEERING","Bachelor","English","6,25%",NA,"12","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  FOOD ENGINEERING","Bachelor","English","3,13%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  BIOMEDICAL ENGINEERING","Bachelor","English","45,45%",NA,"90","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  BUILDING CONSTRUCTION SCIENCE AND TECHNOLOGY","Bachelor","English","7,25%",NA,"15","35.77 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  AUDIOVISUAL SYSTEMS ENGINEERING","Bachelor","English","3,13%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  BIOSYSTEMS ENGINEERING","Bachelor","English","6,06%",NA,"12","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  TELECOMMUNICATIONS SYSTEMS ENGINEERING","Bachelor","English","9,09%",NA,"18","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  ELECTRICAL ENGINEERING - EEBE","Bachelor","English","48,39%",NA,"90","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  ELECTRICAL ENGINEERING - ESEIAAT","Bachelor","English","3,23%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  ELECTRICAL ENGINEERING - EPSEVG","Bachelor","English","3,23%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  INDUSTRIAL ELECTRONICS AND AUTOMATIC CONTROL ENGINEERING - EEBE","Bachelor","English","48,39%",NA,"90","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  INDUSTRIAL ELECTRONICS AND AUTOMATIC CONTROL ENGINEERING - ESEIAAT","Bachelor","English","3,23%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  INDUSTRIAL ELECTRONICS AND AUTOMATIC CONTROL ENGINEERING - EPSEM","Bachelor","English","9,68%",NA,"18","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  INDUSTRIAL ELECTRONICS AND AUTOMATIC CONTROL ENGINEERING - EPSEVG","Bachelor","English","3,23%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  MECHANICAL ENGINEERING - EEBE","Bachelor","English","48,39%",NA,"90","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  INDUSTRIAL ENGINEERING - ESEIAAT","Bachelor","English","3,33%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","180 (3 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  MECHANICAL ENGINEERING - ESEIAAT","Bachelor","English","3,23%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  INDUSTRIAL ENGINEERING - EPSEM","Bachelor","English","3,33%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","180 (3 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  MECHANICAL ENGINEERING - EPSEM","Bachelor","English","3,23%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  CHEMICAL ENGINEERING - EEBE","Bachelor","English","48,39%",NA,"90","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  CHEMICAL ENGINEERING - ESEIAAT","Bachelor","English","3,23%",NA,"6","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  CHEMICAL ENGINEERING - EPSEM","Bachelor","English","6,45%",NA,"12","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  NETWORK ENGINEERING","Bachelor","English","15,15%",NA,"30","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  CIVIL ENGINEERING","Bachelor","English","100%",NA,"240","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","35 (all)","Yes","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  ICT SYSTEMS ENGINEERING","Bachelor","English","9,68%",NA,"18","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  MATERIALS ENGINEERING","Bachelor","English","40%",NA,"84","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
"UNIVERSITAT POLITECNICA DE CATALUNYA","BACHELOR'S  NAVAL SYSTEMS AND TECHNOLOGY ENGINEERING","Bachelor","English","8,33%",NA,"16.5","39.53 
					(x 1.5 non-EU citizens)","240 (4 years)","No information","","No specific language requirements have been defined."
