"Title","Study_Level","University","City","Credits","Field","Language"
"Master of Science Programme in Strategic Communication","Master","Lund University","Helsingborg","120 Credits","Journalism, Communication and Information","English"
"Master programme in Geomedia Studies: Media, Mobility and Spatial Planning","Master","Karlstad University","Karlstad","120 Credits","Journalism, Communication and Information","English"
"Master's Programme in Global Media Studies","Master","Stockholm University","Stockholm","120 Credits","Journalism, Communication and Information","English"
"Master's Programme in Global Media Studies","Master","Stockholm University","Stockholm","120 Credits","Journalism, Communication and Information","English"
"Master's programme in Investigative Journalism","Master","University of Gothenburg","Göteborg","60 Credits","Journalism, Communication and Information","English"
"Master's programme in Investigative Journalism","Master","University of Gothenburg","Göteborg","60 Credits","Journalism, Communication and Information","English"
"Master's Programme in Journalism Studies","Master","Stockholm University","Stockholm","120 Credits","Journalism, Communication and Information","English"
"Master's Programme in Journalism Studies","Master","Stockholm University","Stockholm","120 Credits","Journalism, Communication and Information","English"
"Master's Programme in Media, Communication and Cultural Analysis","Master","Södertörn University","Huddinge","120 Credits","Journalism, Communication and Information","English"
"Master's Programme in Media, Communication and Cultural Analysis (INT)","Master","Södertörn University","Huddinge","120 Credits","Journalism, Communication and Information","English"
"Master's Programme in Modern History","Master","Uppsala University","Uppsala","120 Credits","Journalism, Communication and Information","English"
"Master's programme in political communication","Master","University of Gothenburg","Göteborg","120 Credits","Journalism, Communication and Information","English"
"Master's programme in political communication","Master","University of Gothenburg","Göteborg","120 Credits","Journalism, Communication and Information","English"
"Master's Programme in Social Analysis","Master","Örebro University","Örebro","60 Credits","Journalism, Communication and Information","English"
"Master's Programme in Social Sciences - Digital Media and Society","Master","Uppsala University","Uppsala","120 Credits","Journalism, Communication and Information","English"
"Master's Programme in Strategic Communication","Master","Örebro University","Örebro","60 Credits","Journalism, Communication and Information","English"
"Master's Programme, Communication Systems","Master","KTH Royal Institute of Technology","Stockholm","120 Credits","Journalism, Communication and Information","English"
"Masters Programme in Information Science: Digital Environments","Master","University of Borås","Varied","120 Credits","Journalism, Communication and Information","English"
"Masters Programme in Information Science: Digital Environments","Master","University of Borås","Varied","120 Credits","Journalism, Communication and Information","English"
"Media and Communication Studies: Culture, Collaborative Media, and Creative Industries, Master's programme (One-Year)","Master","Malmö University","Varied","60 Credits","Journalism, Communication and Information","English"
"Media and Communication Studies: Culture, Collaborative Media, and Creative Industries, Master's programme (One-Year)","Master","Malmö University","Varied","60 Credits","Journalism, Communication and Information","English"
"Media and Communication Studies: Culture, Collaborative Media, and Creative Industries, Master's programme (Two-Year)","Master","Malmö University","Varied","120 Credits","Journalism, Communication and Information","English"
"Media and Communication Studies: Culture, Collaborative Media, and Creative Industries, Master's programme (Two-Year)","Master","Malmö University","Varied","120 Credits","Journalism, Communication and Information","English"
"Media and Entrepreneurship Programme","Bachelor","Linnaeus University (Kalmar Växjö)","Kalmar","180 Credits","Journalism, Communication and Information","English"
"Media Technology: Strategic Media Development, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Journalism, Communication and Information","English"
"Media Technology: Strategic Media Development, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Journalism, Communication and Information","English"
"Media, Democracy and Human Rights, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Kalmar","120 Credits","Journalism, Communication and Information","English"
"Media, Democracy and Human Rights, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Varied","120 Credits","Journalism, Communication and Information","English"
"Sustainable Communication (One Year)","Master","Jönköping University","Jönköping","60 Credits","Journalism, Communication and Information","English"
"Sustainable Communication (Two Years)","Master","Jönköping University","Jönköping","120 Credits","Journalism, Communication and Information","English"
"Arctic Mineral Resources, specialization Mineral Entrepreneurship, international students","Master","Luleå University of Technology","Luleå","120 Credits","Health and Medical Care","English"
"Arctic Mineral Resources, specialization Mineral Resource Management, international students","Master","Luleå University of Technology","Luleå","120 Credits","Health and Medical Care","English"
"Bachelor in Sustainable Enterprise Development","Bachelor","Jönköping University","Jönköping","180 Credits","Health and Medical Care","English"
"Bachelor of Science Program in Business and Economics","Bachelor","Stockholm School of Economics","Stockholm","180 Credits","Health and Medical Care","English"
"Bachelor of Science Program in Retail Management","Bachelor","Stockholm School of Economics","Stockholm","180 Credits","Health and Medical Care","English"
"Bachelor's Programme in Biomedicine","Bachelor","Karolinska Institutet","Solna","180 Credits","Health and Medical Care","English"
"Bachelor's Programme in Biomedicine","Bachelor","Lund University","Lund","180 Credits","Health and Medical Care","English"
"Bachelor's Programme in Biomedicine","Bachelor","Karolinska Institutet","Solna","180 Credits","Health and Medical Care","English"
"Bachelor's Programme in Energy Transition - Sustainability and Leadership","Bachelor","Uppsala University","Gotland","180 Credits","Health and Medical Care","English"
"Bachelor's Programme in Game Design and Graphics","Bachelor","Uppsala University","Gotland","180 Credits","Health and Medical Care","English"
"Bachelor's Programme in Game Design and Programming","Bachelor","Uppsala University","Gotland","180 Credits","Health and Medical Care","English"
"Bachelor's Programme in Game Design and Project Management","Bachelor","Uppsala University","Gotland","180 Credits","Health and Medical Care","English"
"Bachelor's Programme in Leadership - Quality Management - Improvement - Campus","Bachelor","Uppsala University","Gotland","180 Credits","Health and Medical Care","English"
"Bachelor´s Programme in Experimental and Industrial Biomedicine (International admissions round)","Bachelor","Linköping University","Linköping","180 Credits","Health and Medical Care","English"
"Biomedical Engineering, Master's Programme","Master","Linköping University","Linköping","120 Credits","Health and Medical Care","English"
"Biomedical Engineering, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Health and Medical Care","English"
"Biomedical Surface Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Health and Medical Care","English"
"Biomedical Surface Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Health and Medical Care","English"
"Biomedical Surface Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Health and Medical Care","English"
"Biomedicine - Bachelor's Programme","Bachelor","University of Skövde","Skövde","180 Credits","Health and Medical Care","English"
"Biotechnology, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Health and Medical Care","English"
"Business Development and Marketing - Masters Programme","Master","University of Skövde","Skövde","60 Credits","Health and Medical Care","English"
"Child Studies, Master´s Programme, Distance","Master","Linköping University","Linköping","120 Credits","Health and Medical Care","English"
"Cognitive Neuroscience: Mind and Brain - Master's Programme","Master","University of Skövde","Skövde","60 Credits","Health and Medical Care","English"
"Design and Construction Project Management, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Health and Medical Care","English"
"Energy and Management for Sustainable Development, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Health and Medical Care","English"
"Entrepreneurship and Business Design, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Health and Medical Care","English"
"Entrepreneurship, Sustainability and Social Change, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Health and Medical Care","English"
"Experimental and Medical Biosciences, Master's Programme (International admissions round)","Master","Linköping University","Linköping","120 Credits","Health and Medical Care","English"
"Gender Studies - Intersectionality and Change, Master´s Programme, Distance","Master","Linköping University","Linköping","120 Credits","Health and Medical Care","English"
"Industrial Design Engineering, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Health and Medical Care","English"
"Industrial Engineering and Management, Master's Programme","Master","Linköping University","Linköping","120 Credits","Health and Medical Care","English"
"Infectious Disease Control","Master","Södertörn University","Huddinge","60 Credits","Health and Medical Care","English"
"Infectious Disease Control (INT)","Master","Södertörn University","Huddinge","60 Credits","Health and Medical Care","English"
"Innovation through Business, Engineering and Design - Specialisation Business, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Health and Medical Care","English"
"Innovation through Business, Engineering and Design - specialisation design, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Health and Medical Care","English"
"Innovation through Business, Engineering and Design - specialisation Engineering, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Health and Medical Care","English"
"International Master's Programme in Innovative Medicine","Master","Uppsala University","Uppsala","120 Credits","Health and Medical Care","English"
"International Tourism Management","Bachelor","Linnaeus University (Kalmar Växjö)","Kalmar","180 Credits","Health and Medical Care","English"
"International two-year masters program in psychology","Master","Stockholm University","Stockholm","120 Credits","Health and Medical Care","English"
"Interventions in Childhood (One Year)","Master","Jönköping University","Jönköping","60 Credits","Health and Medical Care","English"
"Joint Master's Programme in Health Informatics","Master","Karolinska Institutet","Solna","120 Credits","Health and Medical Care","English"
"Lärande och Ledarskap, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Health and Medical Care","English"
"Management and Economics of Innovation, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Health and Medical Care","English"
"Master by Research in Human Sciences - Sports Sciences (IDRA)","Master","Mid Sweden University","Östersund","120 Credits","Health and Medical Care","English"
"Master by Research in Human Sciences - Tourism Studies (TURA)","Master","Mid Sweden University","Östersund","120 Credits","Health and Medical Care","English"
"Master in Operations and Supply Chain Management","Master","University West","Trollhättan","120 Credits","Health and Medical Care","English"
"Master in Strategic Entrepreneurship (Two Years)","Master","Jönköping University","Jönköping","120 Credits","Health and Medical Care","English"
"Master of Product Development - Specialisation in Assistive Technology (MASTech) for Engineers","Master","Jönköping University","Jönköping","120 Credits","Health and Medical Care","English"
"Master of Product Development - Specialisation in Assistive Technology (MASTech) for Prosthetist/Orthotists","Master","Jönköping University","Jönköping","120 Credits","Health and Medical Care","English"
"Bachelor of Science Programme in Development Studies","Bachelor","Lund University","Lund","180 Credits","Humanities","English"
"Bachelor Programme in Economy and Society","Bachelor","Lund University","Lund","180 Credits","Humanities","English"
"Bachelor Programme in Latin American Studies with specialization in Portuguese","Bachelor","Stockholm University","Stockholm","180 Credits","Humanities","English"
"Bachelor Programme in Latin American Studies with specialization in Portuguese","Bachelor","Stockholm University","Stockholm","180 Credits","Humanities","English"
"Bachelor Programme in Latin American Studies with specialization in Spanish","Bachelor","Stockholm University","Stockholm","180 Credits","Humanities","English"
"Bachelor Programme in Latin American Studies with specialization in Spanish","Bachelor","Stockholm University","Stockholm","180 Credits","Humanities","English"
"Bachelor's programme in Chamber Music - Keyboard instruments","Bachelor","Mälardalen University","Västerås","180 Credits","Humanities","English"
"Bachelor's programme in Chamber Music - Song","Bachelor","Mälardalen University","Västerås","180 Credits","Humanities","English"
"Bachelor's programme in Chamber Music - String Instrument","Bachelor","Mälardalen University","Västerås","180 Credits","Humanities","English"
"Bachelor's programme in Chamber Music - Wind instruments","Bachelor","Mälardalen University","Västerås","180 Credits","Humanities","English"
"Bachelor's Programme in Egyptology","Bachelor","Uppsala University","Uppsala","180 Credits","Humanities","English"
"Child Studies, Master´s Programme, Distance","Master","Linköping University","Linköping","120 Credits","Humanities","English"
"Colonial and Postcolonial Studies, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Humanities","English"
"Colonial and Postcolonial Studies, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Varied","120 Credits","Humanities","English"
"Culture and Change - Critical Studies in the Humanities, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Humanities","English"
"Culture and Change - Critical Studies in the Humanities, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Humanities","English"
"Digital Humanities, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Varied","120 Credits","Humanities","English"
"English Language and Literature, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Humanities","English"
"English Language and Literature, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Varied","120 Credits","Humanities","English"
"Ethics, Science, and Policy, Master's Programme - First and main admission round","Master","Linköping University","Linköping","120 Credits","Humanities","English"
"Ethnic and Migration Studies, Master's Programme - First and main admission round","Master","Linköping University","Norrköping","120 Credits","Humanities","English"
"European Studies - Politics, Societies and Cultures, Bachelor's Programme","Bachelor","Malmö University","Malmö","180 Credits","Humanities","English"
"European Studies - Politics, Societies and Cultures, Bachelor's Programme","Bachelor","Malmö University","Malmö","180 Credits","Humanities","English"
"Food and Landscape - Masters programme","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Humanities","English"
"Gender Studies - Intersectionality and Change, Master´s Programme, Distance","Master","Linköping University","Linköping","120 Credits","Humanities","English"
"Gendering Practices, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"Gendering Practices, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"Global Peace, Justice and Well-being, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Humanities","English"
"Human-centered Artificial Intelligence Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"Human-centered Artificial Intelligence Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"International and European Relations, Master's Programme - First and main admission round","Master","Linköping University","Linköping","120 Credits","Humanities","English"
"International Business Programme","Bachelor","Linnaeus University (Kalmar Växjö)","Kalmar","180 Credits","Humanities","English"
"International Master's Program in Curating, including Art, Management and Law","Master","Stockholm University","Stockholm","120 Credits","Humanities","English"
"Landscape Architecture- Master's Programme","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Humanities","English"
"Master in Language Technology","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"Master in Language Technology","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"Master of Arts Programme in European Studies","Master","Lund University","Lund","120 Credits","Humanities","English"
"Master of Science in Conservation","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"Master of Science in Conservation","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"Master of Science in International Business and Trade","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"Master of Science in International Business and Trade","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"Master of Science Programme in Global Studies","Master","Lund University","Lund","120 Credits","Humanities","English"
"Master of Science Programme in Human Ecology - Culture, Power and Sustainability","Master","Lund University","Lund","120 Credits","Humanities","English"
"Master of Science Programme in Media and Communication Studies","Master","Lund University","Lund","120 Credits","Humanities","English"
"Master of Science Programme in Social Scientific Data Analysis","Master","Lund University","Lund","120 Credits","Humanities","English"
"Master of Science Programme in Social Studies of Gender","Master","Lund University","Lund","120 Credits","Humanities","English"
"Master of Theology, biblical studies","Master","University of Gothenburg","Göteborg","120 Credits","Humanities","English"
"Master of Theology, biblical studies","Master","University of Gothenburg","Varied","120 Credits","Humanities","English"
"Master programme in English: Linguistic specialisation","Master","Karlstad University","Varied","120 Credits","Humanities","English"
"Master programme in English: Linguistic specialisation","Master","Karlstad University","Varied","120 Credits","Humanities","English"
"Bachelor Programme in Latin American Studies with specialization in Portuguese","Bachelor","Stockholm University","Stockholm","180 Credits","Languages","English"
"Bachelor Programme in Latin American Studies with specialization in Portuguese","Bachelor","Stockholm University","Stockholm","180 Credits","Languages","English"
"Bachelor Programme in Latin American Studies with specialization in Spanish","Bachelor","Stockholm University","Stockholm","180 Credits","Languages","English"
"Bachelor Programme in Latin American Studies with specialization in Spanish","Bachelor","Stockholm University","Stockholm","180 Credits","Languages","English"
"English and Education: Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Languages","English"
"English and Education: Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Languages","English"
"English Language and Literature, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Languages","English"
"English Language and Literature, Master Programme","Master","Linnaeus University (Kalmar Växjö)","Varied","120 Credits","Languages","English"
"Master Programme in Applied English Linguistics","Master","Dalarna University","Varied","60 Credits","Languages","English"
"Master Programme in Applied English Linguistics","Master","Dalarna University","Varied","60 Credits","Languages","English"
"Master Programme in Applied English Linguistics","Master","Dalarna University","Varied","60 Credits","Languages","English"
"Master Programme in Applied English Linguistics","Master","Dalarna University","Varied","60 Credits","Languages","English"
"Master programme in English: Linguistic specialisation","Master","Karlstad University","Varied","120 Credits","Languages","English"
"Master programme in English: Linguistic specialisation","Master","Karlstad University","Varied","120 Credits","Languages","English"
"Master programme in English: Literary specialisation","Master","Karlstad University","Varied","120 Credits","Languages","English"
"Master programme in English: Literary specialisation","Master","Karlstad University","Varied","120 Credits","Languages","English"
"Master's Programme in AI and Language","Master","Stockholm University","Stockholm","120 Credits","Languages","English"
"Master's Programme in Egyptology","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Master's Programme in English - American Literature and Culture","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Master's Programme in English - English Linguistics","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Master's Programme in English - English Literature","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Master's Programme in English Language and Linguistics","Master","Stockholm University","Stockholm","120 Credits","Languages","English"
"Master's Programme in English Language and Linguistics","Master","Stockholm University","Stockholm","120 Credits","Languages","English"
"Master's Programme in Language and Intercultural Communication","Master","University of Gothenburg","Göteborg","120 Credits","Languages","English"
"Master's Programme in Language and Linguistics, Classical Languages","Master","Lund University","Lund","120 Credits","Languages","English"
"Master's Programme in Language and Linguistics, Cognitive Semiotics","Master","Lund University","Lund","120 Credits","Languages","English"
"Master's Programme in Language and Linguistics, English","Master","Lund University","Lund","120 Credits","Languages","English"
"Master's Programme in Language and Linguistics, Linguistics","Master","Lund University","Lund","120 Credits","Languages","English"
"Master's Programme in Language and Linguistics, Modern Languages","Master","Lund University","Lund","120 Credits","Languages","English"
"Master's Programme in Language and Linguistics, Swedish as a Second Language","Master","Lund University","Lund","120 Credits","Languages","English"
"Master's Programme in Language and Linguistics, Swedish/Scandinavian Languages","Master","Lund University","Lund","120 Credits","Languages","English"
"Master's Programme in Language Technology","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Master's Programme in Languages - General Linguistics","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Master's Programme in Languages - German","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Master's Programme in Languages - Turkic Languages","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Master's Programme in Middle Eastern Studies","Master","Stockholm University","Stockholm","120 Credits","Languages","English"
"Master's Programme in Middle Eastern Studies","Master","Stockholm University","Stockholm","120 Credits","Languages","English"
"Master's Programme in Multilingualism and Second Language Acquisition","Master","Stockholm University","Stockholm","120 Credits","Languages","English"
"Master's Programme in Multilingualism and Second Language Acquisition","Master","Stockholm University","Stockholm","120 Credits","Languages","English"
"Master's Programme in Russian and Eurasian Studies","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Master's Programme in Scandinavian Studies","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Master's Programme in Turkic Studies","Master","Uppsala University","Uppsala","120 Credits","Languages","English"
"Masters Programme in English with Specialisation in Literature in English","Master","Dalarna University","Varied","60 Credits","Languages","English"
"Masters Programme in English with Specialisation in Literature in English","Master","Dalarna University","Varied","60 Credits","Languages","English"
"Masters Programme in English with Specialisation in Literature in English","Master","Dalarna University","Varied","60 Credits","Languages","English"
"Masters Programme in English with Specialisation in Literature in English","Master","Dalarna University","Varied","60 Credits","Languages","English"
"Masters Programme in Intercultural Literature Studies - General","Master","Dalarna University","Varied","120 Credits","Languages","English"
"Masters Programme in Intercultural Literature Studies - General","Master","Dalarna University","Varied","120 Credits","Languages","English"
"Masters Programme in Intercultural Literature Studies - General","Master","Dalarna University","Varied","120 Credits","Languages","English"
"Masters Programme in Intercultural Literature Studies - General","Master","Dalarna University","Varied","120 Credits","Languages","English"
"Analytical Finance","Bachelor","Mälardalen University","Västerås","180 Credits","Mathematics","English"
"Bachelor in International Economics","Bachelor","Jönköping University","Jönköping","180 Credits","Mathematics","English"
"Bachelor of Science Program in Retail Management","Bachelor","Stockholm School of Economics","Stockholm","180 Credits","Mathematics","English"
"Computational Materials Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Mathematics","English"
"Computational Materials Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Mathematics","English"
"Computational Social Science, Master's Programme - First and main admission round","Master","Linköping University","Norrköping","120 Credits","Mathematics","English"
"Economics, master programme","Master","Linnaeus University (Kalmar Växjö)","Växjö","120 Credits","Mathematics","English"
"Engineering Mathematics and Computational Science, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Mathematics","English"
"Infectious Disease Control","Master","Södertörn University","Huddinge","60 Credits","Mathematics","English"
"Infectious Disease Control (INT)","Master","Södertörn University","Huddinge","60 Credits","Mathematics","English"
"Logic, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Mathematics","English"
"Logic, Master's Programme","Master","University of Gothenburg","Göteborg","120 Credits","Mathematics","English"
"Lärande och Ledarskap, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Mathematics","English"
"Master in Applied Economics and Data Analysis","Master","Jönköping University","Jönköping","120 Credits","Mathematics","English"
"Master in Language Technology","Master","University of Gothenburg","Göteborg","120 Credits","Mathematics","English"
"Master in Language Technology","Master","University of Gothenburg","Göteborg","120 Credits","Mathematics","English"
"Master programme in applied economics and advanced analytical methods","Master","Karlstad University","Karlstad","120 Credits","Mathematics","English"
"Master Programme in Computational Science, Geoscience","Master","Lund University","Lund","120 Credits","Mathematics","English"
"Master Programme in Computational Science, Physics","Master","Lund University","Lund","120 Credits","Mathematics","English"
"Master Programme in Computational Science, Scientific Computing","Master","Lund University","Lund","120 Credits","Mathematics","English"
"Master Programme in Economics: Master","Master","Karlstad University","Karlstad","60 Credits","Mathematics","English"
"Master Programme in Mathematical Statistics","Master","Lund University","Lund","120 Credits","Mathematics","English"
"Master Programme in Mathematics","Master","Lund University","Lund","120 Credits","Mathematics","English"
"Master's Programme in Applied Biostatistics","Master","University of Gothenburg","Göteborg","120 Credits","Mathematics","English"
"Master's Programme in Applied Biostatistics","Master","University of Gothenburg","Göteborg","120 Credits","Mathematics","English"
"Master's Programme in Artificial Intelligence","Master","Umeå University","Umeå","120 Credits","Mathematics","English"
"Master's Programme in Artificial Intelligence","Master","Umeå University","Umeå","120 Credits","Mathematics","English"
"Master's Programme in Engineering Mathematics","Master","Mälardalen University","Västerås","120 Credits","Mathematics","English"
"Master's Programme in Financial Engineering","Master","Mälardalen University","Västerås","120 Credits","Mathematics","English"
"Master's Programme in Machine Learning, Systems and Control","Master","Lund University","Lund","120 Credits","Mathematics","English"
"Master's Programme in Mathematical Statistics","Master","Umeå University","Umeå","120 Credits","Mathematics","English"
"Master's Programme in Mathematical Statistics","Master","Umeå University","Umeå","120 Credits","Mathematics","English"
"Master's Programme in Mathematical Statistics and Machine Learning","Master","Stockholm University","Stockholm","120 Credits","Mathematics","English"
"Master's Programme in Mathematical Statistics and Machine Learning","Master","Stockholm University","Stockholm","120 Credits","Mathematics","English"
"Master's Programme in Mathematics","Master","Umeå University","Umeå","120 Credits","Mathematics","English"
"Master's Programme in Mathematics","Master","Umeå University","Umeå","120 Credits","Mathematics","English"
"Master's Programme in Mathematics","Master","Stockholm University","Stockholm","120 Credits","Mathematics","English"
"Master's Programme in Mathematics","Master","Stockholm University","Stockholm","120 Credits","Mathematics","English"
"Master's Programme in Mathematics - Applied Mathematics and Statistics","Master","Uppsala University","Uppsala","120 Credits","Mathematics","English"
"Master's Programme in Mathematics - Financial Mathematics","Master","Uppsala University","Uppsala","120 Credits","Mathematics","English"
"Master's Programme in Mathematics - Mathematics","Master","Uppsala University","Uppsala","120 Credits","Mathematics","English"
"Master's Programme in Physics - Mathematical Physics","Master","Uppsala University","Uppsala","120 Credits","Mathematics","English"
"Master's Programme in Statistics","Master","Stockholm University","Stockholm","120 Credits","Mathematics","English"
"Master's Programme in Statistics","Master","Stockholm University","Stockholm","120 Credits","Mathematics","English"
"Master's Programme in Statistics - Statistical Modelling and Data Science","Master","Örebro University","Örebro","120 Credits","Mathematics","English"
"Master's Programme in Statistics and Data Science","Master","Uppsala University","Uppsala","120 Credits","Mathematics","English"
"Master's Programme, Applied and Computational Mathematics","Master","KTH Royal Institute of Technology","Stockholm","120 Credits","Mathematics","English"
"Master's Programme, Applied and Computational Mathematics - track Computer Simulations for Science and Engineering","Master","KTH Royal Institute of Technology","Stockholm","120 Credits","Mathematics","English"
"Master's Programme, Biostatistics and Data Science","Master","KTH Royal Institute of Technology","Stockholm","120 Credits","Mathematics","English"
"Masters Program in Data Science, Statistics and Decision Analysis","Master","Stockholm University","Stockholm","120 Credits","Mathematics","English"
"Aeronautical Engineering, Master's Programme","Master","Linköping University","Linköping","120 Credits","Materials, Construction and Manufacturing","English"
"Applied Mechanics, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Materials, Construction and Manufacturing","English"
"Architecture and Planning Beyond Sustainability, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Materials, Construction and Manufacturing","English"
"Architecture and Urban Design, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Materials, Construction and Manufacturing","English"
"Architecture Program","Integrated Bachelor + Master","Umeå University","Umeå","300 Credits","Materials, Construction and Manufacturing","English"
"Arctic Mineral Resources, specialization Mineral Entrepreneurship, international students","Master","Luleå University of Technology","Luleå","120 Credits","Materials, Construction and Manufacturing","English"
"Arctic Mineral Resources, specialization Mineral Resource Management, international students","Master","Luleå University of Technology","Luleå","120 Credits","Materials, Construction and Manufacturing","English"
"Bachelor Programme in Mineral Resource Engineering,International students","Bachelor","Luleå University of Technology","Luleå","180 Credits","Materials, Construction and Manufacturing","English"
"Computational Materials Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Materials, Construction and Manufacturing","English"
"Computational Materials Science, Master's Programme (Two-Year)","Master","Malmö University","Malmö","120 Credits","Materials, Construction and Manufacturing","English"
"Design and Construction Project Management, Msc Progr","Master","Chalmers University of Technology","Göteborg","120 Credits","Materials, Construction and Manufacturing","English"
"Digital Product Development (master)","Master","Jönköping University","Jönköping","120 Credits","Materials, Construction and Manufacturing","English"
"Food and Landscape - Masters programme","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Materials, Construction and Manufacturing","English"
"Forest and Landscape (BSc)","Bachelor","Swedish University of Agricultural Sciences","Lomma","180 Credits","Materials, Construction and Manufacturing","English"
"Horticultural Science - Master's Programme","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Materials, Construction and Manufacturing","English"
"Landscape Architecture for Sustainable Urbanisation - Master's Programme","Master","Swedish University of Agricultural Sciences","Uppsala","120 Credits","Materials, Construction and Manufacturing","English"
"Landscape Architecture- Master's Programme","Master","Swedish University of Agricultural Sciences","Lomma","120 Credits","Materials, Construction and Manufacturing","English"
"Master in Manufacturing Engineering","Master","University West","Trollhättan","120 Credits","Materials, Construction and Manufacturing","English"
"Master in Manufacturing Engineering (1 year)","Master","University West","Trollhättan","60 Credits","Materials, Construction and Manufacturing","English"
"Master in Robotics and Automation (1 year)","Master","University West","Trollhättan","60 Credits","Materials, Construction and Manufacturing","English"
"Master in Robotics and Automation (1 year) Distance with meetings on campus","Master","University West","Trollhättan","60 Credits","Materials, Construction and Manufacturing","English"
"Master in Robotics and Automation (2 years)","Master","University West","Trollhättan","120 Credits","Materials, Construction and Manufacturing","English"
"Master in Robotics and Automation (2 years) Distance with meetings on campus","Master","University West","Trollhättan","60 Credits","Materials, Construction and Manufacturing","English"
"Master in Welding Technology","Master","University West","Trollhättan","120 Credits","Materials, Construction and Manufacturing","English"
"Master of Science in Conservation","Master","University of Gothenburg","Göteborg","120 Credits","Materials, Construction and Manufacturing","English"
"Master of Science in Conservation","Master","University of Gothenburg","Göteborg","120 Credits","Materials, Construction and Manufacturing","English"
"Master Programme (Two Year) in Technical Textile Innovation","Master","University of Borås","Borås","120 Credits","Materials, Construction and Manufacturing","English"
