"Title","Subject","Degree","Institution","ECTS","Program_Link","Language"
"Composition - Advanced Postgraduate Programme","Music and performing arts","Advanced Postgraduate Diploma of Music","The Royal Danish Academy of Music",120,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/composition-advanced-postgraduate-programme?filters=","English"
"Composition - Bachelor","Music and performing arts","Bachelor of Composition","The Royal Danish Academy of Music",180,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/composition-bachelor?filters=","English"
"Composition - Master","Music and performing arts","Master (2 years) of Composition","The Royal Danish Academy of Music",120,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/composition-master?filters=","English"
"Computation in Architecture","Architecture, design and visual arts","Master (2 years) of Architecture","Royal Danish Academy -  Architecture, Design and Conservation",120,"https://studyindenmark.dk/portal/royal-danish-academy-architecture-design-and/copenhagen/computation-in-architecture?filters=","English"
"Computational Biomedicine","Mathematics, natural- and computer science","Master (2 years) of Science","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/computational-biomedicine?filters=","English"
"Computer Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Computer Engineering","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/computer-engineering?filters=","English"
"Computer Engineering","Engineering","Master (2 years) of","Aalborg University (AAU)",NA,"https://studyindenmark.dk/portal/aalborg-university-aau/copenhagen/computer-engineering?filters=","English"
"Computer Engineering, MSc in Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Engineering (Computer Engineering)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/computer-engineering-msc-in-engineering?filters=","English"
"Computer Graphic Arts","Architecture, design and visual arts
                Humanities, social sciences, communication and arts
                Mathematics, natural- and computer science","Bachelor of Animation","VIA University College",210,"https://studyindenmark.dk/portal/via-university-college/campus-viborg/computer-graphic-arts?filters=","English"
"Computer Science","Mathematics, natural- and computer science","Master (2 years) of Science","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/computer-science?filters=","English"
"Computer Science","Hotel, tourism, leisure, transport and logistics
                Interdisciplinary Studies
                Mathematics, natural- and computer science","Master (2 years) of software development, computer science,","Roskilde University (RUC)",NA,"https://studyindenmark.dk/portal/roskilde-university-ruc/roskilde/computer-science?filters=","English"
"Computer Science","Mathematics, natural- and computer science","Bachelor of Computer Science","Aarhus University (AU)",180,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/computer-science-39684?filters=","English"
"Computer Science","Mathematics, natural- and computer science","Master (2 years) of Science in Computer Science","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/computer-science?filters=","English"
"Computer Science","Mathematics, natural- and computer science","Academy Profession Degree of Computer Science","KEA - Copenhagen School of Design and Technology",150,"https://studyindenmark.dk/portal/kea-copenhagen-school-of-design-and-technology/guldbergsgade/computer-science?filters=","English"
"Computer Science","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Mathematics, natural- and computer science","Master (2 years) of of Science","IT University of Copenhagen (ITU)",120,"https://studyindenmark.dk/portal/it-university-of-copenhagen-itu/kobenhavn/computer-science?filters=","English"
"Computer Science","Mathematics, natural- and computer science","Master (2 years) of of Science in Computer Science","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/north-campus/computer-science?filters=","English"
"Computer Science (Esbjerg)","Mathematics, natural- and computer science","Academy Profession Degree of Computer Science (AP)","Business Academy SouthWest",150,"https://studyindenmark.dk/portal/business-academy-southwest/esbjerg/computer-science-esbjerg?filters=","English"
"Computer Science (exchange programme)","Engineering
                Mathematics, natural- and computer science","Short-term programme of Computer Science","University College of Northern Denmark (UCN)",30,"https://studyindenmark.dk/portal/university-college-of-northern-denmark-ucn/ucn-technology/computer-science-exchange-programme?filters=","English"
"Computer Science (IT), MSc","Mathematics, natural- and computer science","Master (2 years) of Science in Computer Science (IT)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/computer-science-it-msc?filters=","English"
"Computer Science and Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Computer Science and Engineering","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/computer-science-and-engineering?filters=","English"
"Consort - Advanced Postgraduate Programme","Music and performing arts","Advanced Postgraduate Diploma of Recorder, Harpsichord, Viola da Gamba, Baroque violin, Baroque cello, Lute, Baroque trompet, Traverso flute","The Royal Danish Academy of Music",120,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/consort-advanced-postgraduate-programme?filters=","English"
"Consort: Recorder/Harpsichord/Viola da Gamba - Bachelor","Music and performing arts","Bachelor of Consort, Recorder, Harpsichord, Viola da Gamba, Early Music","The Royal Danish Academy of Music",180,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/consort-recorder-harpsichord-viola-da-gamba?filters=","English"
"Consort: Recorder/Harpsichord/Viola da Gamba - Master","Music and performing arts","Master (2 years) of Early Music","The Royal Danish Academy of Music",120,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/consort-recorder-harpsichord-viola-da-gamba-master?filters=","English"
"Construction Technology","Agriculture and environment
                Economics, commerce, management and accounting
                Mathematics, natural- and computer science","Academy Profession Degree of Construction Technology","VIA University College",120,"https://studyindenmark.dk/portal/via-university-college/campus-horsens/construction-technology?filters=","English"
"Contemporary creative artist (CCA)","Music and performing arts","Advanced Postgraduate Diploma of","Danish National Academy of Music",120,"https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/contemporary-creative-artist-cca?filters=","English"
"Contemporary Rhythmic Musician","Music and performing arts","Bachelor of","Danish National Academy of Music",180,"https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/contemporary-rhythmic-musician?filters=","English"
"Contemporary Rhythmic Musician","Music and performing arts","Master (2 years) of","Danish National Academy of Music",120,"https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/contemporary-rhythmic-musician-34282?filters=","English"
"Continuous Delivery and DevOps","Engineering","Summer School of Software Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/continuous-delivery-and-devops?filters=","English"
"Corporate Communication","Humanities, social sciences, communication and arts","Short-term programme of Corporate Communication","Danish School of Media and Journalism (DMJX)",30,"https://studyindenmark.dk/portal/danish-school-of-media-and-journalism-dmjx/campus-copenhagen/corporate-communication?filters=","English"
"Corporate Communication","Humanities, social sciences, communication and arts","Short-term programme of Corporate Communication","Danish School of Media and Journalism (DMJX)",30,"https://studyindenmark.dk/portal/danish-school-of-media-and-journalism-dmjx/campus-aarhus/corporate-communication?filters=","English"
"Course Catalogue for Exchange Students at the Faculty of Health Sciences","Health care, social services, and care services","Short-term programme of Health Sciences","UCL University College",NA,"https://studyindenmark.dk/portal/ucl-university-college/ucl-health-sciences-odense/course-catalogue-for-exchange-students-at-the?filters=","English"
"Course Catalogue for Exchange Students at the Faculty of Education and Social Sciences","Health care, social services, and care services
                Humanities, social sciences, communication and arts","Short-term programme of Education and Social Sciences","UCL University College",NA,"https://studyindenmark.dk/portal/ucl-university-college/ucl-education-and-social-sciences-odense/course-catalogue-for-exchange-students-at-the?filters=","English"
"Crafts in Glass and Ceramics","Architecture, design and visual arts","Bachelor of Design","Royal Danish Academy -  Architecture, Design and Conservation",210,"https://studyindenmark.dk/portal/royal-danish-academy-architecture-design-and/bornholm/crafts-in-glass-and-ceramics?filters=","English"
"Creative Communication","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Short-term programme of Creative Communication","Danish School of Media and Journalism (DMJX)",30,"https://studyindenmark.dk/portal/danish-school-of-media-and-journalism-dmjx/campus-copenhagen/creative-communication?filters=","English"
"Cultural Sociology","Humanities, social sciences, communication and arts","Master (2 years) of Cultural Sociology in Social Transformation Processes","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/esbjerg/cultural-sociology?filters=","English"
"Culture, Communication and Globalization, MA","Humanities, social sciences, communication and arts","Master (2 years) of Arts in Culture, Communication and Globalization","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/culture-communication-and-globalization-ma?filters=","English"
"Cyber Security and Privacy, Master","Engineering
                Mathematics, natural- and computer science","Master (1 year) of Master of Cyber Security and Privacy","Aalborg University (AAU)",60,"https://studyindenmark.dk/portal/aalborg-university-aau/copenhagen/cyber-security-and-privacy-master?filters=","English"
"Cyber Security, MSc in Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Engineering (Cyber Security)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/copenhagen/cyber-security-msc-in-engineering?filters=","English"
"Data Driven Business Development","Economics, commerce, management and accounting","Master (2 years) of Economics and Business Administration","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/kolding/data-driven-business-development?filters=","English"
"Data Interaction Cyber Programme 1:1 DTU-KAIST","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Data Interaction","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/data-interaction-cyber-programme-1-1-dtu-kaist?filters=","English"
"Data Science","Mathematics, natural- and computer science","Bachelor of Data Science","Aarhus University (AU)",180,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/data-science?filters=","English"
"Data Science","Humanities, social sciences, communication and arts
                Mathematics, natural- and computer science","Master (2 years) of of Science","IT University of Copenhagen (ITU)",120,"https://studyindenmark.dk/portal/it-university-of-copenhagen-itu/kobenhavn/data-science-36325?filters=","English"
"Data Science","Economics, commerce, management and accounting
                Mathematics, natural- and computer science","Bachelor of of Science","IT University of Copenhagen (ITU)",180,"https://studyindenmark.dk/portal/it-university-of-copenhagen-itu/kobenhavn/data-science?filters=","English"
"Decision, Persuasion, and Negotiation","Economics, commerce, management and accounting","Summer School of","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/decision-persuasion-and-negotiation?filters=","English"
"Deep Dive into Entrepreneurship","Interdisciplinary Studies","Summer School of Entrepreneurship","VIA University College",5,"https://studyindenmark.dk/portal/via-university-college/campus-aarhus-c/deep-dive-into-entrepreneurship?filters=","English"
"Deep Learning","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/deep-learning?filters=","English"
"Design & Innovation","Engineering","Master (2 years) of Science in Design & Innovation","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/design-innovation?filters=","English"
"Design and build drones for environmental monitoring and sustainable precision farming","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/design-and-build-drones-for-environmental?filters=","English"
"Design and Business","Architecture, design and visual arts
                Humanities, social sciences, communication and arts","Top-up degree of Design and Business","KEA - Copenhagen School of Design and Technology",90,"https://studyindenmark.dk/portal/kea-copenhagen-school-of-design-and-technology/guldbergsgade/design-and-business?filters=","English"
"Design for People","Architecture, design and visual arts","Master (2 years) of Industrial Design, Communication Design, Fashion Design, Textiles, Accessory Design","Kolding School of Design",120,"https://studyindenmark.dk/portal/kolding-school-of-design/campus-kolding/design-for-people?filters=","English"
"Design for Planet","Architecture, design and visual arts","Master (2 years) of Communication Design, Industrial Design, Fashion, Textiles, Accessory Design","Kolding School of Design",120,"https://studyindenmark.dk/portal/kolding-school-of-design/campus-kolding/design-for-planet?filters=","English"
"Design for Play","Architecture, design and visual arts","Master (2 years) of Communication Design, Industrial Design, Fashion, Textiles, Accessory Design","Kolding School of Design",120,"https://studyindenmark.dk/portal/kolding-school-of-design/campus-kolding/design-for-play?filters=","English"
"Design of Mechanical Systems, Specialisation of Mechanical Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science (MSc) in Engineering (Mechanical Engineering with specialisation in Design of Mechanical Systems)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/design-of-mechanical-systems-specialisation-of?filters=","English"
"Design, Technology and Business","Architecture, design and visual arts
                Humanities, social sciences, communication and arts","Academy Profession Degree of Design, Technology and Business","KEA - Copenhagen School of Design and Technology",120,"https://studyindenmark.dk/portal/kea-copenhagen-school-of-design-and-technology/guldbergsgade/design-technology-and-business?filters=","English"
"Developing global sustainable production systems: Coping with a new strategic and operational challenge","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/developing-global-sustainable-production-systems?filters=","English"
"Digital Concept Development","Humanities, social sciences, communication and arts","Top-up degree of Digital Concept Development","Business Academy Aarhus",90,"https://studyindenmark.dk/portal/business-academy-aarhus/sonderhoj-7g/digital-concept-development?filters=","English"
"Diversity and Change Management (MSc)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts
                Interdisciplinary Studies","Master (2 years) of Science in Business, Language and Culture","Copenhagen Business School (CBS)",120,"https://studyindenmark.dk/portal/copenhagen-business-school-cbs/frederiksberg-campus/diversity-and-change-management-msc?filters=","English"
"Early Childhood and Social Education","Health care, social services, and care services","Short-term programme of Early Childhood and Social Education","University College Copenhagen",NA,"https://studyindenmark.dk/portal/university-college-copenhagen/campus-carlsberg/early-childhood-and-social-education?filters=","English"
"Earth and Space Physics and Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Earth and Space Physics and Engineering","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/earth-and-space-physics-and-engineering?filters=","English"
"Economics","Economics, commerce, management and accounting","Master (2 years) of Science in Economics","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics?filters=","English"
"Economics","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Master (2 years) of Science in Economics","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/economics?filters=","English"
"Economics","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Master (2 years) of Science in Economics","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/economics?filters=","English"
"Economics - Finance","Economics, commerce, management and accounting","Master (2 years) of in Economics","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/economics-finance?filters=","English"
"Economics and Business Administration (Herning)","Economics, commerce, management and accounting","Bachelor of Economics and Business Administration","Aarhus University (AU)",180,"https://studyindenmark.dk/portal/aarhus-university-au/herning/economics-and-business-administration-herning?filters=","English"
"Economics and Business Administration - Finance","Economics, commerce, management and accounting","Master (2 years) of Economics and Business Administration (Finance)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-finance?filters=","English"
"Economics and Business Administration - Operations and Supply Chain Analytics","Architecture, design and visual arts
                Economics, commerce, management and accounting","Master (2 years) of Operations and Supply Chain Analytics","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-operations?filters=","English"
"Economics and Business Administration - Special Programmes for AP Graduates","Economics, commerce, management and accounting","Bachelor of Economics and Business Administration","University of Southern Denmark (SDU)",180,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/economics-and-business-administration-special?filters=","English"
"Economics and Business Administration – Global Business Relationships","Economics, commerce, management and accounting","Bachelor of Economics and Business Administration","University of Southern Denmark (SDU)",180,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/economics-and-business-administration-2013-global?filters=","English"
"Economics and Business Administration - International Economic Consulting","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Business Administration (International Economic Consulting)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-5242?filters=","English"
"Economics and Business Administration - Marketing Analytics and Strategy","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Business Administration (Marketing)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-marketing?filters=","English"
"Economics and Business Administration - International Business Development","Economics, commerce, management and accounting","Master (2 years) of Economics and Business Administration","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/herning/economics-and-business-administration?filters=","English"
"Economics and Business Administration - Finance and International Business","Economics, commerce, management and accounting","Master (2 years) of Economics and Business Administration (Finance and International Business)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-finance-and?filters=","English"
"Economics and Business Administration - International Business","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Business Administration (International Business)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration?filters=","English"
"Economics and Business Administration - Strategy, Organisation and Leadership","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Business Administration (Strategy, Organisation and Leadership)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-strategy?filters=","English"
"Economics and Business Administration - Innovation Management","Economics, commerce, management and accounting","Master (2 years) of Economics and Business Administration - Innovation Management and Entrepreneurship","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-innovation?filters=","English"
"Economics and Business Administration - Commercial and Retail Management","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Business Administration (Commercial and Retail Management)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-commercial?filters=","English"
"Economics and Business Administration - Sports and Event Management","Economics, commerce, management and accounting","Master (2 years) of","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/esbjerg/economics-and-business-administration-sports-and?filters=","English"
"Economics and Business Administration - Strategic Value Chain Management","Economics, commerce, management and accounting","Master (2 years) of Economics and Business Administration","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-strategic?filters=","English"
"Economics and Business Administration - Digital Business Management","Economics, commerce, management and accounting","Master (2 years) of Economics and Business Administration","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-digital?filters=","English"
"Economics and Business Administration (Aarhus)","Economics, commerce, management and accounting","Bachelor of  Economics and Business Administration","Aarhus University (AU)",180,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-aarhus?filters=","English"
"Economics and Business Administration - Management Accounting and Control","Economics, commerce, management and accounting","Master (2 years) of Science in Economics and Business Administration (Management Accounting and Control)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-management?filters=","English"
"Economics and Business Administration - Business Intelligence","Economics, commerce, management and accounting
                Mathematics, natural- and computer science","Master (2 years) of Science in Economics and Business Administration (Business Intelligence)","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-business?filters=","English"
"Economics and Business Administration","Economics, commerce, management and accounting","Bachelor of Economics and Business Administration","Aalborg University (AAU)",180,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/economics-and-business-administration?filters=","English"
"Economics and Business Administration","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Master (2 years) of Economics and Business Administration","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/economics-and-business-administration?filters=","English"
"Electrical and Mechanical Engineering 1:1 DTU-KAIST Double Degree","Engineering","Master (2 years) of Science in Electrical Engineering","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/electrical-and-mechanical-engineering-1-1-dtu?filters=","English"
"Electrical Engineering","Engineering","Master (2 years) of Science in Electrical Engineering","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/electrical-engineering?filters=","English"
"Electrical Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Electrical Engineering","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/electrical-engineering?filters=","English"
"Electrical Power Systems and High Voltage Engineering, Specialisation of Energy Engineering","Engineering","Master (2 years) of Science (MSc) in Engineering (Energy Engineering with specialisation in Electric Power Systems and High Voltage Engineering)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/electrical-power-systems-and-high-voltage?filters=","English"
"Electro-Mechanical Systems Design, Specialisation of Mechanical Engineering","Engineering","Master (2 years) of Science (MSc) in Engineering (Mechanical Engineering with specialisation in Electro-Mechanical System Design)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/electro-mechanical-systems-design-specialisation?filters=","English"
"Electronic Composition","Music and performing arts","Master (2 years) of Music (MMus)","The Royal Academy of Music - Aarhus/Aalborg",120,"https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aarhus-departement/electronic-composition?filters=","English"
"Electronic music and sound art","Music and performing arts","Master (2 years) of","Danish National Academy of Music",120,"https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/electronic-music-and-sound-art?filters=","English"
"Electronic music and sound art","Music and performing arts","Bachelor of","Danish National Academy of Music",180,"https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/electronic-music-and-sound-art?filters=","English"
"Electronic Sound and Music","Music and performing arts","Bachelor of Music (BMus)","The Royal Academy of Music - Aarhus/Aalborg",180,"https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aalborg-departement/electronic-sound-and-music?filters=","English"
"Electronic Systems, MSc in Engineering","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Engineering (Electronic Systems)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/electronic-systems-msc-in-engineering?filters=","English"
"Electronics (BEng)","Engineering","Bachelor of Engineering","University of Southern Denmark (SDU)",210,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/electronics-beng?filters=","English"
"Electronics (BSc)","Engineering","Bachelor of Science in Engineering","University of Southern Denmark (SDU)",180,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/electronics-bsc?filters=","English"
"Electronics Engineering (MSc)","Engineering","Master (2 years) of Science in Engineering","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/electronics-engineering-msc?filters=","English"
"Emergency and risk management","Health care, social services, and care services","Short-term programme of Emergency and risk management","University College Copenhagen",NA,"https://studyindenmark.dk/portal/university-college-copenhagen/campus-sigurdsgade/emergency-and-risk-management?filters=","English"
"Energy Engineering, MSc in Engineering","Engineering","Master (2 years) of Science in Engineering (Energy Engineering)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/energy-engineering-msc-in-engineering?filters=","English"
"Engineering Acoustics","Engineering","Master (2 years) of Science in Engineering Acoustics","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/engineering-acoustics?filters=","English"
"Engineering Acoustics 1:1 DTU-KAIST Double Degree","Engineering","Master (2 years) of Science in Engineering Acoustics","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/engineering-acoustics-1-1-dtu-kaist-double-degree?filters=","English"
"Engineering for Sustainability","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/engineering-for-sustainability?filters=","English"
"Engineering Imagination","Engineering","Summer School of Engineering","University of Southern Denmark (SDU)",5,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/engineering-imagination?filters=","English"
"Engineering Light","Engineering","Master (2 years) of Science in Engineering Light","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/engineering-light?filters=","English"
"Engineering Physics","Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Engineering Physics","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/engineering-physics?filters=","English"
"Engineering, Innovation and Business (BSc)","Engineering
                Health care, social services, and care services","Bachelor of Science in Engineering","University of Southern Denmark (SDU)",180,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/engineering-innovation-and-business-bsc?filters=","English"
"Engineering, Innovation and Business (MSc)","Economics, commerce, management and accounting
                Engineering","Master (2 years) of Science in Engineering","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/engineering-innovation-and-business-msc?filters=","English"
"English","Humanities, social sciences, communication and arts","Master (2 years) of Arts in English","Aarhus University (AU)",120,"https://studyindenmark.dk/portal/aarhus-university-au/aarhus/english?filters=","English"
"English Studies","Humanities, social sciences, communication and arts","Master (2 years) of Art in English Studies","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/english-studies?filters=","English"
"Ensemble/Choir Conducting - Master","Music and performing arts","Master (2 years) of Ensemble/Choir Conducting","The Royal Danish Academy of Music",120,"https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/ensemble-choir-conducting-master?filters=","English"
"Entrepreneurial Business Engineering, MSc in Technology","Engineering","Master (2 years) of Science in Technology (Entrepreneurial Business Engineering)","Aalborg University (AAU)",120,"https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/entrepreneurial-business-engineering-msc-in?filters=","English"
"Entrepreneurship and Innovation - Design & Business (Top-up Degree)","Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Top-up degree of Design and Business","VIA University College",90,"https://studyindenmark.dk/portal/via-university-college/campus-herning/entrepreneurship-and-innovation-design-business?filters=","English"
"Environmental and Natural Resource Economics","Agriculture and environment
                Economics, commerce, management and accounting","Master (2 years) of Science in Environmental and Natural Resource Economics","University of Copenhagen (UCPH)",120,"https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/environmental-and-natural-resource-economics?filters=","English"
"Environmental and Resource Management","Agriculture and environment
                Economics, commerce, management and accounting
                Humanities, social sciences, communication and arts","Master (2 years) of Environmental and Resource Management","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/esbjerg/environmental-and-resource-management?filters=","English"
"Environmental Engineering","Engineering","Master (2 years) of Science in Environmental Engineering","Technical University of Denmark (DTU)",120,"https://studyindenmark.dk/portal/technical-university-of-denmark-dtu/dtu-lyngby-campus-10/environmental-engineering?filters=","English"
"Environmental Engineering (MSc)","Agriculture and environment
                Engineering
                Mathematics, natural- and computer science","Master (2 years) of Science in Environmental Engineering","University of Southern Denmark (SDU)",120,"https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/environmental-engineering-msc?filters=","English"
